,tx_node,rx_node,modulation,power,preamble,rssi,snr,timestamp
0,1.0,,3.0,0.0,2.0,,,1533584459.653048
1,1.0,,3.0,10.0,2.0,,,1533584460.344575
2,1.0,,3.0,22.0,2.0,,,1533584460.990498
3,1.0,,5.0,0.0,2.0,,,1533584461.662806
4,1.0,,5.0,10.0,2.0,,,1533584462.020896
5,1.0,3,5.0,10.0,2.0,-84,12,1533584462.020896
6,1.0,13,5.0,10.0,2.0,-108,-2,1533584462.020896
7,1.0,25,5.0,10.0,2.0,-102,-2,1533584462.020896
8,1.0,,5.0,22.0,2.0,,,1533584462.372126
9,1.0,10,5.0,22.0,2.0,-81,11,1533584462.372126
10,1.0,,7.0,0.0,2.0,,,1533584462.73089
11,1.0,28,7.0,0.0,2.0,-98,5,1533584462.73089
12,1.0,8,7.0,0.0,2.0,-63,6,1533584462.73089
13,1.0,15,7.0,0.0,2.0,-67,8,1533584462.73089
14,1.0,4,7.0,0.0,2.0,-59,8,1533584462.73089
15,1.0,23,7.0,0.0,2.0,-103,-4,1533584462.73089
16,1.0,22,7.0,0.0,2.0,-104,0,1533584462.73089
17,1.0,,7.0,10.0,2.0,,,1533584462.990535
18,1.0,28,7.0,10.0,2.0,-89,8,1533584462.990535
19,1.0,3,7.0,10.0,2.0,-84,8,1533584462.990535
20,1.0,8,7.0,10.0,2.0,-52,9,1533584462.990535
21,1.0,10,7.0,10.0,2.0,-93,3,1533584462.990535
22,1.0,15,7.0,10.0,2.0,-58,9,1533584462.990535
23,1.0,4,7.0,10.0,2.0,-48,9,1533584462.990535
24,1.0,20,7.0,10.0,2.0,-101,4,1533584462.990535
25,1.0,23,7.0,10.0,2.0,-97,5,1533584462.990535
26,1.0,26,7.0,10.0,2.0,-105,-3,1533584462.990535
27,1.0,32,7.0,10.0,2.0,-85,7,1533584462.990535
28,1.0,33,7.0,10.0,2.0,-71,9,1533584462.990535
29,1.0,13,7.0,10.0,2.0,-109,-3,1533584462.990535
30,1.0,25,7.0,10.0,2.0,-103,0,1533584462.990535
31,1.0,22,7.0,10.0,2.0,-95,7,1533584462.990535
32,1.0,,7.0,22.0,2.0,,,1533584463.242782
33,1.0,28,7.0,22.0,2.0,-77,8,1533584463.242782
34,1.0,3,7.0,22.0,2.0,-71,9,1533584463.242782
35,1.0,24,7.0,22.0,2.0,-95,5,1533584463.242782
36,1.0,8,7.0,22.0,2.0,-39,8,1533584463.242782
37,1.0,10,7.0,22.0,2.0,-81,8,1533584463.242782
38,1.0,15,7.0,22.0,2.0,-45,8,1533584463.242782
39,1.0,4,7.0,22.0,2.0,-36,9,1533584463.242782
40,1.0,20,7.0,22.0,2.0,-88,8,1533584463.242782
41,1.0,23,7.0,22.0,2.0,-84,8,1533584463.242782
42,1.0,26,7.0,22.0,2.0,-95,5,1533584463.242782
43,1.0,32,7.0,22.0,2.0,-73,9,1533584463.242782
44,1.0,33,7.0,22.0,2.0,-59,9,1533584463.242782
45,1.0,13,7.0,22.0,2.0,-99,6,1533584463.242782
46,1.0,25,7.0,22.0,2.0,-93,7,1533584463.242782
47,1.0,22,7.0,22.0,2.0,-83,8,1533584463.242782
48,1.0,,9.0,0.0,2.0,,,1533584463.50278
49,1.0,,9.0,10.0,2.0,,,1533584463.720562
50,1.0,8,9.0,10.0,2.0,-39,8,1533584463.720562
51,1.0,15,9.0,10.0,2.0,-45,8,1533584463.720562
52,1.0,4,9.0,10.0,2.0,-36,9,1533584463.720562
53,1.0,33,9.0,10.0,2.0,-59,9,1533584463.720562
54,1.0,,9.0,22.0,2.0,,,1533584463.93083
55,1.0,15,9.0,22.0,2.0,-45,8,1533584463.93083
56,1.0,4,9.0,22.0,2.0,-36,9,1533584463.93083
57,1.0,33,9.0,22.0,2.0,-59,9,1533584463.93083
58,1.0,,3.0,0.0,3.0,,,1533584464.140613
59,1.0,28,3.0,0.0,3.0,-99,6,1533584464.140613
60,1.0,3,3.0,0.0,3.0,-93,9,1533584464.140613
61,1.0,24,3.0,0.0,3.0,-106,-13,1533584464.140613
62,1.0,8,3.0,0.0,3.0,-60,10,1533584464.140613
63,1.0,10,3.0,0.0,3.0,-98,-4,1533584464.140613
64,1.0,15,3.0,0.0,3.0,-67,11,1533584464.140613
65,1.0,4,3.0,0.0,3.0,-56,11,1533584464.140613
66,1.0,20,3.0,0.0,3.0,-106,-5,1533584464.140613
67,1.0,23,3.0,0.0,3.0,-102,-4,1533584464.140613
68,1.0,26,3.0,0.0,3.0,-106,-13,1533584464.140613
