sample,time,window,precision,modulation,band,cad2rf,cad2done,detected
0,2018-06-06 19:29:31.761482,0.002,2.000020000200002e-08,7,12,8.49808498084981e-05,0.0012640926409264092,True
1,2018-06-06 19:29:42.238327,0.2,4.0000008000001605e-08,0,23,8.504001700800342e-05,0.15885167177033438,False
2,2018-06-06 19:29:44.875848,0.01,1.000001000001e-08,5,27,8.502008502008503e-05,0.004774054774054774,False
3,2018-06-06 19:29:45.956222,0.004,4.000040000400004e-08,6,48,8.500085000850009e-05,0.0024220642206422066,False
4,2018-06-06 19:29:57.946601,0.2,4.0000008000001605e-08,0,50,8.500001700000341e-05,0.15885151177030238,False
5,2018-06-06 19:30:00.714593,0.01,1.000001000001e-08,5,33,8.504008504008504e-05,0.004775634775634776,True
6,2018-06-06 19:30:12.150837,0.1,2.0000004000000802e-08,1,36,8.502001700400341e-05,0.07846885569377114,False
7,2018-06-06 19:30:13.284162,0.004,4.000040000400004e-08,6,8,8.496084960849609e-05,0.0024222242222422226,False
8,2018-06-06 19:30:16.499667,0.04,4.000004000004e-08,3,7,8.496008496008496e-05,0.019205339205339206,False
9,2018-06-06 19:30:27.264466,0.1,2.0000004000000802e-08,1,46,8.49800169960034e-05,0.07847029569405915,True
10,2018-06-06 19:30:30.252406,0.04,4.000004000004e-08,3,8,8.5000085000085e-05,0.01920537920537921,False
11,2018-06-06 19:30:32.857601,0.01,1.000001000001e-08,5,10,8.501008501008502e-05,0.004773784773784774,False
12,2018-06-06 19:30:43.483364,0.2,4.0000008000001605e-08,0,8,8.504001700800342e-05,0.15885151177030238,False
13,2018-06-06 19:30:46.806403,0.01,1.000001000001e-08,5,16,8.505008505008505e-05,0.004773794773794774,False
14,2018-06-06 19:30:47.939646,0.002,2.000020000200002e-08,7,12,8.500085000850009e-05,0.0012641126411264113,True
15,2018-06-06 19:30:50.509416,0.02,2.000002000002e-08,4,26,8.5000085000085e-05,0.009541709541709542,False
16,2018-06-06 19:30:53.108041,0.04,4.000004000004e-08,3,3,8.504008504008504e-05,0.019205699205699207,False
17,2018-06-06 19:31:04.458038,0.1,2.0000004000000802e-08,1,12,8.506001701200341e-05,0.07847069569413914,True
18,2018-06-06 19:31:07.224412,0.01,1.000001000001e-08,5,7,8.506008506008506e-05,0.004773854773854774,False
19,2018-06-06 19:31:09.966133,0.04,4.000004000004e-08,3,47,8.496008496008496e-05,0.019205299205299207,False
20,2018-06-06 19:31:21.225193,0.2,4.0000008000001605e-08,0,30,8.496001699200341e-05,0.15885327177065436,True
21,2018-06-06 19:31:31.578352,0.1,2.0000004000000802e-08,2,35,8.504001700800342e-05,0.03879100775820156,True
22,2018-06-06 19:31:32.676711,0.004,4.000040000400004e-08,6,4,8.500085000850009e-05,0.0024225842258422587,False
23,2018-06-06 19:31:42.821452,0.1,2.0000004000000802e-08,2,36,8.500001700000341e-05,0.038788627757725555,False
24,2018-06-06 19:31:53.099380,0.2,4.0000008000001605e-08,0,35,8.496001699200341e-05,0.15885351177070237,True
25,2018-06-06 19:31:55.812972,0.04,4.000004000004e-08,3,48,8.496008496008496e-05,0.019205299205299207,False
