sample,time,window,precision,modulation,band,tx,measured
0,2018-06-07 10:26:21.323477,0.001,1.000010000100001e-08,7,43,False,0.0002749827498274983
1,2018-06-07 10:26:22.279083,0.001,1.000010000100001e-08,9,4,False,0.0004893448934489345
2,2018-06-07 10:26:23.226831,0.001,1.000010000100001e-08,5,41,True,0.00031673316733167334
3,2018-06-07 10:26:24.223165,0.001,1.000010000100001e-08,6,42,False,0.0002719627196271963
4,2018-06-07 10:26:25.135873,0.001,1.000010000100001e-08,4,12,True,0.00034037340373403735
5,2018-06-07 10:26:26.052627,0.001,1.000010000100001e-08,5,50,False,0.0002723127231272313
6,2018-06-07 10:26:26.972142,0.001,1.000010000100001e-08,4,0,False,0.00029662296622966233
7,2018-06-07 10:26:27.888906,0.001,1.000010000100001e-08,0,15,False,0.0002749327493274933
8,2018-06-07 10:26:28.800989,0.001,1.000010000100001e-08,8,48,False,0.0004578045780457805
9,2018-06-07 10:26:29.766391,0.001,1.000010000100001e-08,5,37,True,0.00031720317203172036
10,2018-06-07 10:26:30.685403,0.001,1.000010000100001e-08,8,5,True,0.0005757057570575706
11,2018-06-07 10:26:31.636931,0.001,1.000010000100001e-08,2,25,False,0.00024955249552495527
12,2018-06-07 10:26:32.594400,0.001,1.000010000100001e-08,8,20,True,0.0005402554025540256
13,2018-06-07 10:26:33.515251,0.001,1.000010000100001e-08,6,45,False,0.0002491924919249193
14,2018-06-07 10:26:34.481650,0.001,1.000010000100001e-08,7,31,True,0.00033984339843398437
15,2018-06-07 10:26:35.466643,0.001,1.000010000100001e-08,4,20,True,0.0003400834008340084
16,2018-06-07 10:26:36.453689,0.001,1.000010000100001e-08,0,10,True,0.0003425234252342524
17,2018-06-07 10:26:37.434592,0.001,1.000010000100001e-08,9,20,False,0.0004684246842468425
18,2018-06-07 10:26:38.455193,0.001,1.000010000100001e-08,4,45,False,0.00024970249702497026
19,2018-06-07 10:26:39.404653,0.001,1.000010000100001e-08,2,18,False,0.0002732427324273243
20,2018-06-07 10:26:40.330955,0.001,1.000010000100001e-08,4,36,True,0.00034036340363403634
21,2018-06-07 10:26:41.251814,0.001,1.000010000100001e-08,2,32,False,0.0002729027290272903
22,2018-06-07 10:26:42.248467,0.001,1.000010000100001e-08,9,14,False,0.00047207472074720753
23,2018-06-07 10:26:43.203572,0.001,1.000010000100001e-08,1,47,False,0.00025072250722507226
24,2018-06-07 10:26:44.152414,0.001,1.000010000100001e-08,8,5,False,0.0005014150141501415
25,2018-06-07 10:26:45.248785,0.001,1.000010000100001e-08,2,21,False,0.00025016250162501627
26,2018-06-07 10:26:46.159268,0.001,1.000010000100001e-08,5,16,True,0.00034042340423404236
27,2018-06-07 10:26:47.077018,0.001,1.000010000100001e-08,2,30,False,0.0002743927439274393
28,2018-06-07 10:26:48.023794,0.001,1.000010000100001e-08,3,32,False,0.0002728527285272853
29,2018-06-07 10:26:48.971045,0.001,1.000010000100001e-08,2,25,True,0.00034134341343413434
30,2018-06-07 10:26:49.883057,0.001,1.000010000100001e-08,0,31,False,0.0002732127321273213
31,2018-06-07 10:26:50.800819,0.001,1.000010000100001e-08,3,12,True,0.0002815828158281583
32,2018-06-07 10:26:51.720806,0.001,1.000010000100001e-08,2,33,True,0.0003405234052340524
33,2018-06-07 10:26:52.676191,0.001,1.000010000100001e-08,1,22,False,0.0002726227262272623
34,2018-06-07 10:26:53.598924,0.001,1.000010000100001e-08,6,23,True,0.0003399133991339914
35,2018-06-07 10:26:54.597168,0.001,1.000010000100001e-08,3,51,True,0.00034057340573405735
36,2018-06-07 10:26:55.524868,0.001,1.000010000100001e-08,1,25,False,0.0002729027290272903
37,2018-06-07 10:26:56.445138,0.001,1.000010000100001e-08,1,46,False,0.0002731527315273153
38,2018-06-07 10:26:57.394419,0.001,1.000010000100001e-08,0,39,False,0.0002741027410274103
39,2018-06-07 10:26:58.432530,0.001,1.000010000100001e-08,0,31,True,0.0003480334803348034
40,2018-06-07 10:26:59.361636,0.001,1.000010000100001e-08,1,48,False,0.0002734827348273483
