sample,time,window,precision,modulation,band,payload,measured
0,2018-06-07 11:10:16.781843,0.002,2.000020000200002e-08,0,21,254,0.0005268252682526825
1,2018-06-07 11:10:17.661377,0.002,2.000020000200002e-08,8,30,254,0.0004853048530485305
2,2018-06-07 11:10:18.543735,0.002,2.000020000200002e-08,1,34,254,0.0005303653036530366
3,2018-06-07 11:10:19.460100,0.002,2.000020000200002e-08,2,17,254,0.0005287452874528746
4,2018-06-07 11:10:20.333286,0.002,2.000020000200002e-08,1,31,254,0.0005269052690526905
5,2018-06-07 11:10:21.214403,0.002,2.000020000200002e-08,4,2,254,0.0005276452764527645
6,2018-06-07 11:10:22.094049,0.002,2.000020000200002e-08,8,28,254,0.00048522485224852254
7,2018-06-07 11:10:23.014417,0.002,2.000020000200002e-08,9,9,254,0.0004878848788487885
8,2018-06-07 11:10:23.934745,0.002,2.000020000200002e-08,1,46,254,0.0005303653036530366
9,2018-06-07 11:10:24.810733,0.002,2.000020000200002e-08,6,13,254,0.0005302853028530286
10,2018-06-07 11:10:25.772905,0.002,2.000020000200002e-08,2,34,254,0.0005279652796527966
11,2018-06-07 11:10:26.641361,0.002,2.000020000200002e-08,6,17,254,0.0005296052960529605
12,2018-06-07 11:10:27.519978,0.002,2.000020000200002e-08,4,8,254,0.0005269052690526905
13,2018-06-07 11:10:28.395417,0.002,2.000020000200002e-08,1,12,254,0.0005292852928529285
14,2018-06-07 11:10:29.261308,0.002,2.000020000200002e-08,9,9,254,0.00048598485984859853
15,2018-06-07 11:10:30.133306,0.002,2.000020000200002e-08,1,14,254,0.0005303853038530386
16,2018-06-07 11:10:31.011499,0.002,2.000020000200002e-08,4,44,254,0.0005302853028530286
17,2018-06-07 11:10:31.928508,0.002,2.000020000200002e-08,1,49,254,0.0005276052760527605
18,2018-06-07 11:10:32.812732,0.002,2.000020000200002e-08,2,28,254,0.0005287452874528746
19,2018-06-07 11:10:33.678712,0.002,2.000020000200002e-08,4,24,254,0.0005303653036530366
20,2018-06-07 11:10:34.548124,0.002,2.000020000200002e-08,9,48,254,0.0004878848788487885
21,2018-06-07 11:10:35.456762,0.002,2.000020000200002e-08,9,45,254,0.0004847248472484725
22,2018-06-07 11:10:36.325810,0.002,2.000020000200002e-08,0,20,254,0.0005279252792527926
23,2018-06-07 11:10:37.202344,0.002,2.000020000200002e-08,6,3,254,0.0005296052960529605
24,2018-06-07 11:10:38.080540,0.002,2.000020000200002e-08,7,0,254,0.0005268852688526885
25,2018-06-07 11:10:38.992641,0.002,2.000020000200002e-08,1,49,254,0.0005269052690526905
26,2018-06-07 11:10:39.874195,0.002,2.000020000200002e-08,6,42,254,0.0005287452874528746
27,2018-06-07 11:10:40.743558,0.002,2.000020000200002e-08,0,15,254,0.0005279052790527906
28,2018-06-07 11:10:41.643704,0.002,2.000020000200002e-08,7,1,254,0.0005269652696526966
29,2018-06-07 11:10:42.509051,0.002,2.000020000200002e-08,4,33,254,0.0005250252502525026
30,2018-06-07 11:10:43.429144,0.002,2.000020000200002e-08,5,11,254,0.0005302853028530286
31,2018-06-07 11:10:44.334846,0.002,2.000020000200002e-08,0,8,254,0.0005276452764527645
32,2018-06-07 11:10:45.276037,0.002,2.000020000200002e-08,9,9,254,0.0004854848548485485
33,2018-06-07 11:10:46.144990,0.002,2.000020000200002e-08,2,34,254,0.0005279052790527906
34,2018-06-07 11:10:47.063264,0.002,2.000020000200002e-08,7,14,254,0.0005280652806528065
35,2018-06-07 11:10:47.942125,0.002,2.000020000200002e-08,1,45,254,0.0005279852798527986
36,2018-06-07 11:10:48.821849,0.002,2.000020000200002e-08,6,47,254,0.0005269252692526925
37,2018-06-07 11:10:49.693890,0.002,2.000020000200002e-08,2,6,254,0.0005293252932529325
38,2018-06-07 11:10:50.609547,0.002,2.000020000200002e-08,4,32,254,0.0005279252792527926
39,2018-06-07 11:10:51.488321,0.002,2.000020000200002e-08,6,12,254,0.0005302853028530286
40,2018-06-07 11:10:52.358739,0.002,2.000020000200002e-08,2,12,254,0.0005303853038530386
41,2018-06-07 11:10:53.225014,0.002,2.000020000200002e-08,4,38,254,0.0005302853028530286
42,2018-06-07 11:10:54.130346,0.002,2.000020000200002e-08,7,14,254,0.0005279652796527966
43,2018-06-07 11:10:55.044346,0.002,2.000020000200002e-08,5,17,254,0.0005268252682526825
44,2018-06-07 11:10:55.910529,0.002,2.000020000200002e-08,3,44,254,0.0005268852688526885
45,2018-06-07 11:10:56.809289,0.002,2.000020000200002e-08,4,4,254,0.0005302853028530286
46,2018-06-07 11:10:57.758683,0.002,2.000020000200002e-08,7,29,254,0.0005279052790527906
47,2018-06-07 11:10:58.642671,0.002,2.000020000200002e-08,0,51,254,0.0005302853028530286
48,2018-06-07 11:10:59.558343,0.002,2.000020000200002e-08,1,18,254,0.0005302853028530286
49,2018-06-07 11:11:00.437253,0.002,2.000020000200002e-08,4,16,254,0.0005293652936529366
50,2018-06-07 11:11:01.305449,0.002,2.000020000200002e-08,4,27,254,0.0005304053040530405
51,2018-06-07 11:11:02.219572,0.002,2.000020000200002e-08,2,24,254,0.0005268452684526845
52,2018-06-07 11:11:03.138109,0.002,2.000020000200002e-08,5,12,254,0.0005303853038530386
53,2018-06-07 11:11:04.011943,0.002,2.000020000200002e-08,0,37,254,0.0005293452934529346
54,2018-06-07 11:11:04.888010,0.002,2.000020000200002e-08,8,23,254,0.0004852648526485265
55,2018-06-07 11:11:05.795295,0.002,2.000020000200002e-08,3,51,254,0.0005275452754527546
56,2018-06-07 11:11:06.662493,0.002,2.000020000200002e-08,2,50,254,0.0005293452934529346
57,2018-06-07 11:11:07.532529,0.002,2.000020000200002e-08,3,7,254,0.0005304253042530425
58,2018-06-07 11:11:08.416162,0.002,2.000020000200002e-08,0,7,254,0.0005269452694526945
59,2018-06-07 11:11:09.290049,0.002,2.000020000200002e-08,9,46,254,0.00048518485184851853
60,2018-06-07 11:11:10.160162,0.002,2.000020000200002e-08,9,43,254,0.0004878848788487885
61,2018-06-07 11:11:11.036808,0.002,2.000020000200002e-08,3,9,254,0.0005268452684526845
62,2018-06-07 11:11:11.995779,0.002,2.000020000200002e-08,4,17,254,0.0005340653406534065
63,2018-06-07 11:11:12.879091,0.002,2.000020000200002e-08,3,32,254,0.0005303253032530326
