sample,time,window,precision,modulation,band,measured
0,2018-06-07 13:24:39.041709,0.0001,1.0000100001000011e-09,1,43,4.1189411894118945e-05
1,2018-06-07 13:24:39.889606,0.0001,1.0000100001000011e-09,3,42,4.1190411904119046e-05
2,2018-06-07 13:24:40.740031,0.0001,1.0000100001000011e-09,1,15,4.1187411874118745e-05
3,2018-06-07 13:24:41.585222,0.0001,1.0000100001000011e-09,3,17,4.362643626436265e-05
4,2018-06-07 13:24:42.430898,0.0001,1.0000100001000011e-09,9,12,4.1189411894118945e-05
5,2018-06-07 13:24:43.272520,0.0001,1.0000100001000011e-09,2,33,4.4418444184441846e-05
6,2018-06-07 13:24:44.110327,0.0001,1.0000100001000011e-09,9,18,4.1188411884118845e-05
7,2018-06-07 13:24:44.952686,0.0001,1.0000100001000011e-09,4,10,4.1188411884118845e-05
8,2018-06-07 13:24:45.789462,0.0001,1.0000100001000011e-09,1,23,4.1189411894118945e-05
9,2018-06-07 13:24:46.627278,0.0001,1.0000100001000011e-09,6,21,4.1187411874118745e-05
10,2018-06-07 13:24:47.465294,0.0001,1.0000100001000011e-09,5,15,4.1188411884118845e-05
11,2018-06-07 13:24:48.307263,0.0001,1.0000100001000011e-09,3,42,4.1187411874118745e-05
12,2018-06-07 13:24:49.176707,0.0001,1.0000100001000011e-09,1,44,4.1189411894118945e-05
13,2018-06-07 13:24:50.013475,0.0001,1.0000100001000011e-09,7,1,4.441744417444175e-05
14,2018-06-07 13:24:50.844411,0.0001,1.0000100001000011e-09,7,20,4.1189411894118945e-05
15,2018-06-07 13:24:51.676738,0.0001,1.0000100001000011e-09,2,19,4.1188411884118845e-05
16,2018-06-07 13:24:52.529333,0.0001,1.0000100001000011e-09,2,3,4.1188411884118845e-05
17,2018-06-07 13:24:53.372921,0.0001,1.0000100001000011e-09,2,26,4.1189411894118945e-05
18,2018-06-07 13:24:54.298736,0.0001,1.0000100001000011e-09,3,45,4.1188411884118845e-05
19,2018-06-07 13:24:55.136503,0.0001,1.0000100001000011e-09,3,2,4.1188411884118845e-05
20,2018-06-07 13:24:55.972860,0.0001,1.0000100001000011e-09,2,17,4.362643626436265e-05
21,2018-06-07 13:24:56.814555,0.0001,1.0000100001000011e-09,3,10,4.1188411884118845e-05
22,2018-06-07 13:24:57.692050,0.0001,1.0000100001000011e-09,3,21,4.441744417444175e-05
23,2018-06-07 13:24:58.530855,0.0001,1.0000100001000011e-09,7,6,4.1189411894118945e-05
24,2018-06-07 13:24:59.370630,0.0001,1.0000100001000011e-09,0,48,4.1188411884118845e-05
25,2018-06-07 13:25:00.200376,0.0001,1.0000100001000011e-09,6,21,4.1188411884118845e-05
26,2018-06-07 13:25:01.069089,0.0001,1.0000100001000011e-09,5,7,4.1188411884118845e-05
27,2018-06-07 13:25:01.909686,0.0001,1.0000100001000011e-09,0,9,4.1188411884118845e-05
28,2018-06-07 13:25:02.755870,0.0001,1.0000100001000011e-09,0,44,4.1188411884118845e-05
29,2018-06-07 13:25:03.588325,0.0001,1.0000100001000011e-09,9,47,4.1189411894118945e-05
30,2018-06-07 13:25:04.461888,0.0001,1.0000100001000011e-09,4,2,4.1189411894118945e-05
31,2018-06-07 13:25:05.306429,0.0001,1.0000100001000011e-09,2,47,4.1189411894118945e-05
32,2018-06-07 13:25:06.138737,0.0001,1.0000100001000011e-09,3,16,4.362643626436265e-05
33,2018-06-07 13:25:07.001392,0.0001,1.0000100001000011e-09,4,6,4.1188411884118845e-05
34,2018-06-07 13:25:07.887129,0.0001,1.0000100001000011e-09,2,3,4.1189411894118945e-05
35,2018-06-07 13:25:08.805115,0.0001,1.0000100001000011e-09,8,31,4.1188411884118845e-05
36,2018-06-07 13:25:09.632266,0.0001,1.0000100001000011e-09,0,42,4.1189411894118945e-05
37,2018-06-07 13:25:10.468767,0.0001,1.0000100001000011e-09,5,14,4.441744417444175e-05
38,2018-06-07 13:25:11.349160,0.0001,1.0000100001000011e-09,2,19,4.1189411894118945e-05
39,2018-06-07 13:25:12.177255,0.0001,1.0000100001000011e-09,3,16,4.1189411894118945e-05
40,2018-06-07 13:25:13.085471,0.0001,1.0000100001000011e-09,3,5,4.1188411884118845e-05
41,2018-06-07 13:25:13.925926,0.0001,1.0000100001000011e-09,4,42,4.1188411884118845e-05
42,2018-06-07 13:25:14.770728,0.0001,1.0000100001000011e-09,9,40,4.441744417444175e-05
43,2018-06-07 13:25:15.638369,0.0001,1.0000100001000011e-09,7,20,4.1188411884118845e-05
44,2018-06-07 13:25:16.470728,0.0001,1.0000100001000011e-09,8,14,4.1188411884118845e-05
45,2018-06-07 13:25:17.315043,0.0001,1.0000100001000011e-09,6,15,4.1188411884118845e-05
46,2018-06-07 13:25:18.153129,0.0001,1.0000100001000011e-09,8,21,4.1189411894118945e-05
47,2018-06-07 13:25:18.993769,0.0001,1.0000100001000011e-09,1,6,4.1188411884118845e-05
48,2018-06-07 13:25:19.837769,0.0001,1.0000100001000011e-09,4,25,4.1189411894118945e-05
49,2018-06-07 13:25:20.723394,0.0001,1.0000100001000011e-09,9,17,4.1188411884118845e-05
50,2018-06-07 13:25:21.603686,0.0001,1.0000100001000011e-09,0,32,4.441744417444175e-05
51,2018-06-07 13:25:22.451841,0.0001,1.0000100001000011e-09,2,4,4.1188411884118845e-05
52,2018-06-07 13:25:23.328257,0.0001,1.0000100001000011e-09,9,6,4.1189411894118945e-05
53,2018-06-07 13:25:24.160547,0.0001,1.0000100001000011e-09,7,40,4.1188411884118845e-05
54,2018-06-07 13:25:25.003188,0.0001,1.0000100001000011e-09,2,26,4.1188411884118845e-05
55,2018-06-07 13:25:25.873081,0.0001,1.0000100001000011e-09,6,1,4.441744417444175e-05
56,2018-06-07 13:25:26.709485,0.0001,1.0000100001000011e-09,8,1,4.1187411874118745e-05
57,2018-06-07 13:25:27.548731,0.0001,1.0000100001000011e-09,8,35,4.1188411884118845e-05
58,2018-06-07 13:25:28.435560,0.0001,1.0000100001000011e-09,1,15,4.1189411894118945e-05
59,2018-06-07 13:25:29.354392,0.0001,1.0000100001000011e-09,5,40,4.435544355443555e-05
60,2018-06-07 13:25:30.234487,0.0001,1.0000100001000011e-09,1,45,4.1189411894118945e-05
61,2018-06-07 13:25:31.110639,0.0001,1.0000100001000011e-09,1,28,4.1188411884118845e-05
62,2018-06-07 13:25:32.002382,0.0001,1.0000100001000011e-09,3,22,4.1188411884118845e-05
63,2018-06-07 13:25:32.882371,0.0001,1.0000100001000011e-09,9,30,4.1188411884118845e-05
64,2018-06-07 13:25:33.711761,0.0001,1.0000100001000011e-09,9,34,4.1189411894118945e-05
65,2018-06-07 13:25:34.626007,0.0001,1.0000100001000011e-09,2,22,4.1189411894118945e-05
66,2018-06-07 13:25:35.469169,0.0001,1.0000100001000011e-09,7,5,4.1188411884118845e-05
67,2018-06-07 13:25:36.306182,0.0001,1.0000100001000011e-09,0,6,4.1188411884118845e-05
68,2018-06-07 13:25:37.139762,0.0001,1.0000100001000011e-09,9,29,4.1188411884118845e-05
69,2018-06-07 13:25:38.013810,0.0001,1.0000100001000011e-09,3,20,4.1188411884118845e-05
70,2018-06-07 13:25:38.847157,0.0001,1.0000100001000011e-09,9,16,4.1188411884118845e-05
71,2018-06-07 13:25:39.730433,0.0001,1.0000100001000011e-09,6,3,4.4418444184441846e-05
72,2018-06-07 13:25:40.568566,0.0001,1.0000100001000011e-09,9,34,4.1189411894118945e-05
73,2018-06-07 13:25:41.434765,0.0001,1.0000100001000011e-09,7,23,4.362643626436265e-05
74,2018-06-07 13:25:42.348384,0.0001,1.0000100001000011e-09,2,37,4.1187411874118745e-05
75,2018-06-07 13:25:43.223475,0.0001,1.0000100001000011e-09,2,17,4.1188411884118845e-05
76,2018-06-07 13:25:44.102378,0.0001,1.0000100001000011e-09,4,28,4.1188411884118845e-05
77,2018-06-07 13:25:45.012364,0.0001,1.0000100001000011e-09,4,47,4.1188411884118845e-05
78,2018-06-07 13:25:45.850119,0.0001,1.0000100001000011e-09,4,18,4.1189411894118945e-05
79,2018-06-07 13:25:46.682578,0.0001,1.0000100001000011e-09,0,27,4.1188411884118845e-05
80,2018-06-07 13:25:47.517652,0.0001,1.0000100001000011e-09,3,19,4.1188411884118845e-05
81,2018-06-07 13:25:48.357161,0.0001,1.0000100001000011e-09,1,40,4.1188411884118845e-05
82,2018-06-07 13:25:49.236855,0.0001,1.0000100001000011e-09,5,49,4.1188411884118845e-05
83,2018-06-07 13:25:50.125353,0.0001,1.0000100001000011e-09,2,33,4.1189411894118945e-05
84,2018-06-07 13:25:50.965852,0.0001,1.0000100001000011e-09,9,44,4.1189411894118945e-05
85,2018-06-07 13:25:51.808439,0.0001,1.0000100001000011e-09,1,7,4.441744417444175e-05
86,2018-06-07 13:25:52.652606,0.0001,1.0000100001000011e-09,8,34,4.1188411884118845e-05
87,2018-06-07 13:25:53.491901,0.0001,1.0000100001000011e-09,3,50,4.1188411884118845e-05
88,2018-06-07 13:25:54.332653,0.0001,1.0000100001000011e-09,1,47,4.1188411884118845e-05
89,2018-06-07 13:25:55.187009,0.0001,1.0000100001000011e-09,1,51,4.1188411884118845e-05
90,2018-06-07 13:25:56.032731,0.0001,1.0000100001000011e-09,8,21,4.1189411894118945e-05
91,2018-06-07 13:25:56.878428,0.0001,1.0000100001000011e-09,7,22,4.1188411884118845e-05
92,2018-06-07 13:25:57.764514,0.0001,1.0000100001000011e-09,9,18,4.1188411884118845e-05
93,2018-06-07 13:25:58.598997,0.0001,1.0000100001000011e-09,1,3,4.1188411884118845e-05
94,2018-06-07 13:25:59.515983,0.0001,1.0000100001000011e-09,0,44,4.1189411894118945e-05
95,2018-06-07 13:26:00.354618,0.0001,1.0000100001000011e-09,4,25,4.1189411894118945e-05
96,2018-06-07 13:26:01.199448,0.0001,1.0000100001000011e-09,8,3,4.1189411894118945e-05
97,2018-06-07 13:26:02.045351,0.0001,1.0000100001000011e-09,3,45,4.1188411884118845e-05
98,2018-06-07 13:26:02.889322,0.0001,1.0000100001000011e-09,0,43,4.1188411884118845e-05
99,2018-06-07 13:26:03.812580,0.0001,1.0000100001000011e-09,3,49,4.1189411894118945e-05
100,2018-06-07 13:26:04.663326,0.0001,1.0000100001000011e-09,3,51,4.1188411884118845e-05
101,2018-06-07 13:26:05.509333,0.0001,1.0000100001000011e-09,8,7,4.1188411884118845e-05
102,2018-06-07 13:26:06.384590,0.0001,1.0000100001000011e-09,8,8,4.1189411894118945e-05
103,2018-06-07 13:26:07.298769,0.0001,1.0000100001000011e-09,6,27,4.1188411884118845e-05
104,2018-06-07 13:26:08.128129,0.0001,1.0000100001000011e-09,4,3,4.1188411884118845e-05
105,2018-06-07 13:26:08.962419,0.0001,1.0000100001000011e-09,9,13,4.1188411884118845e-05
106,2018-06-07 13:26:09.856013,0.0001,1.0000100001000011e-09,7,31,4.1188411884118845e-05
107,2018-06-07 13:26:10.745604,0.0001,1.0000100001000011e-09,0,1,4.1188411884118845e-05
108,2018-06-07 13:26:11.662112,0.0001,1.0000100001000011e-09,6,48,4.1189411894118945e-05
109,2018-06-07 13:26:12.537575,0.0001,1.0000100001000011e-09,0,39,4.1189411894118945e-05
110,2018-06-07 13:26:13.368010,0.0001,1.0000100001000011e-09,4,23,4.1188411884118845e-05
111,2018-06-07 13:26:14.206192,0.0001,1.0000100001000011e-09,9,5,4.1188411884118845e-05
112,2018-06-07 13:26:15.127814,0.0001,1.0000100001000011e-09,2,22,4.1189411894118945e-05
113,2018-06-07 13:26:15.968479,0.0001,1.0000100001000011e-09,9,30,4.4418444184441846e-05
114,2018-06-07 13:26:16.816080,0.0001,1.0000100001000011e-09,6,38,4.1188411884118845e-05
115,2018-06-07 13:26:17.664638,0.0001,1.0000100001000011e-09,9,43,4.362643626436265e-05
116,2018-06-07 13:26:18.510039,0.0001,1.0000100001000011e-09,7,14,4.1188411884118845e-05
117,2018-06-07 13:26:19.402707,0.0001,1.0000100001000011e-09,1,44,4.362643626436265e-05
