sample,time,window,precision,modulation,band,react,finish
0,2018-06-07 13:12:28.438788,0.0001,1.001001001001001e-07,4,6,6.9069069069069065e-06,5.915915915915916e-05
1,2018-06-07 13:12:29.389296,0.0001,1.001001001001001e-07,3,27,6.9069069069069065e-06,5.915915915915916e-05
2,2018-06-07 13:12:30.240564,0.0001,1.001001001001001e-07,4,49,6.806806806806807e-06,5.905905905905906e-05
3,2018-06-07 13:12:31.310032,0.0001,1.001001001001001e-07,2,32,6.806806806806807e-06,5.915915915915916e-05
4,2018-06-07 13:12:32.164139,0.0001,1.001001001001001e-07,5,42,6.9069069069069065e-06,5.915915915915916e-05
5,2018-06-07 13:12:33.008139,0.0001,1.001001001001001e-07,7,43,6.806806806806807e-06,5.915915915915916e-05
6,2018-06-07 13:12:33.854039,0.0001,1.001001001001001e-07,7,38,6.806806806806807e-06,5.905905905905906e-05
7,2018-06-07 13:12:34.697573,0.0001,1.001001001001001e-07,6,30,6.9069069069069065e-06,5.915915915915916e-05
8,2018-06-07 13:12:35.544013,0.0001,1.001001001001001e-07,9,48,6.806806806806807e-06,5.905905905905906e-05
9,2018-06-07 13:12:36.490814,0.0001,1.001001001001001e-07,3,47,6.9069069069069065e-06,5.915915915915916e-05
10,2018-06-07 13:12:37.347744,0.0001,1.001001001001001e-07,9,1,6.806806806806807e-06,5.905905905905906e-05
11,2018-06-07 13:12:38.917663,0.0001,1.001001001001001e-07,0,40,6.806806806806807e-06,5.905905905905906e-05
12,2018-06-07 13:12:39.867510,0.0001,1.001001001001001e-07,3,35,6.9069069069069065e-06,5.915915915915916e-05
13,2018-06-07 13:12:40.823744,0.0001,1.001001001001001e-07,3,3,6.9069069069069065e-06,5.915915915915916e-05
14,2018-06-07 13:12:41.671678,0.0001,1.001001001001001e-07,7,31,6.806806806806807e-06,5.905905905905906e-05
15,2018-06-07 13:12:43.248432,0.0001,1.001001001001001e-07,0,1,6.806806806806807e-06,5.905905905905906e-05
16,2018-06-07 13:12:44.309994,0.0001,1.001001001001001e-07,2,50,6.9069069069069065e-06,5.915915915915916e-05
17,2018-06-07 13:12:45.878560,0.0001,1.001001001001001e-07,0,13,6.9069069069069065e-06,5.915915915915916e-05
18,2018-06-07 13:12:46.944156,0.0001,1.001001001001001e-07,2,34,6.9069069069069065e-06,5.915915915915916e-05
19,2018-06-07 13:12:48.202768,0.0001,1.001001001001001e-07,1,13,6.9069069069069065e-06,5.915915915915916e-05
20,2018-06-07 13:12:49.266844,0.0001,1.001001001001001e-07,2,37,6.9069069069069065e-06,5.915915915915916e-05
21,2018-06-07 13:12:50.107312,0.0001,1.001001001001001e-07,5,45,6.806806806806807e-06,5.905905905905906e-05
22,2018-06-07 13:12:51.168968,0.0001,1.001001001001001e-07,2,19,6.9069069069069065e-06,5.915915915915916e-05
23,2018-06-07 13:12:52.114602,0.0001,1.001001001001001e-07,3,35,6.806806806806807e-06,5.905905905905906e-05
24,2018-06-07 13:12:52.971029,0.0001,1.001001001001001e-07,4,40,6.9069069069069065e-06,5.915915915915916e-05
25,2018-06-07 13:12:54.043844,0.0001,1.001001001001001e-07,2,20,6.9069069069069065e-06,5.915915915915916e-05
26,2018-06-07 13:12:54.990719,0.0001,1.001001001001001e-07,3,27,6.9069069069069065e-06,5.915915915915916e-05
27,2018-06-07 13:12:55.840028,0.0001,1.001001001001001e-07,9,28,6.9069069069069065e-06,5.915915915915916e-05
28,2018-06-07 13:12:56.687750,0.0001,1.001001001001001e-07,8,33,6.9069069069069065e-06,5.915915915915916e-05
29,2018-06-07 13:12:57.532904,0.0001,1.001001001001001e-07,6,3,6.9069069069069065e-06,5.915915915915916e-05
30,2018-06-07 13:12:58.375269,0.0001,1.001001001001001e-07,7,7,6.806806806806807e-06,5.915915915915916e-05
31,2018-06-07 13:12:59.229170,0.0001,1.001001001001001e-07,8,46,6.806806806806807e-06,5.915915915915916e-05
32,2018-06-07 13:13:00.488777,0.0001,1.001001001001001e-07,1,41,6.806806806806807e-06,5.905905905905906e-05
33,2018-06-07 13:13:01.349961,0.0001,1.001001001001001e-07,7,51,6.9069069069069065e-06,5.915915915915916e-05
34,2018-06-07 13:13:02.192580,0.0001,1.001001001001001e-07,8,5,6.806806806806807e-06,5.915915915915916e-05
35,2018-06-07 13:13:03.055549,0.0001,1.001001001001001e-07,4,40,6.806806806806807e-06,5.905905905905906e-05
36,2018-06-07 13:13:03.899450,0.0001,1.001001001001001e-07,8,31,6.806806806806807e-06,5.915915915915916e-05
37,2018-06-07 13:13:04.752280,0.0001,1.001001001001001e-07,7,15,6.9069069069069065e-06,5.915915915915916e-05
38,2018-06-07 13:13:05.604703,0.0001,1.001001001001001e-07,4,32,6.9069069069069065e-06,5.915915915915916e-05
39,2018-06-07 13:13:06.448513,0.0001,1.001001001001001e-07,6,4,6.806806806806807e-06,5.915915915915916e-05
40,2018-06-07 13:13:07.705274,0.0001,1.001001001001001e-07,1,49,6.9069069069069065e-06,5.915915915915916e-05
41,2018-06-07 13:13:08.542453,0.0001,1.001001001001001e-07,7,24,6.806806806806807e-06,5.905905905905906e-05
42,2018-06-07 13:13:09.382615,0.0001,1.001001001001001e-07,5,28,6.9069069069069065e-06,5.915915915915916e-05
43,2018-06-07 13:13:10.236754,0.0001,1.001001001001001e-07,8,41,6.806806806806807e-06,5.915915915915916e-05
44,2018-06-07 13:13:11.080674,0.0001,1.001001001001001e-07,5,50,6.806806806806807e-06,5.915915915915916e-05
45,2018-06-07 13:13:11.933324,0.0001,1.001001001001001e-07,8,3,6.806806806806807e-06,5.905905905905906e-05
46,2018-06-07 13:13:12.880941,0.0001,1.001001001001001e-07,3,36,6.806806806806807e-06,5.915915915915916e-05
47,2018-06-07 13:13:13.730103,0.0001,1.001001001001001e-07,5,48,6.806806806806807e-06,5.915915915915916e-05
