sample,time,window,precision,modulation,band,rx2rf
0,2018-05-31 18:45:15.216585,0.0004,4.0000400004000045e-09,7,25,8.52208522085221e-05
1,2018-05-31 18:45:16.235587,0.0004,4.0000400004000045e-09,7,9,8.52448524485245e-05
2,2018-05-31 18:45:17.299585,0.0004,4.0000400004000045e-09,1,50,8.52368523685237e-05
3,2018-05-31 18:45:18.241584,0.0004,4.0000400004000045e-09,9,39,8.49888498884989e-05
4,2018-05-31 18:45:19.298585,0.0004,4.0000400004000045e-09,8,37,8.495684956849569e-05
5,2018-05-31 18:45:20.239586,0.0004,4.0000400004000045e-09,5,48,8.53728537285373e-05
6,2018-05-31 18:45:21.179587,0.0004,4.0000400004000045e-09,5,47,8.525285252852529e-05
7,2018-05-31 18:45:22.119585,0.0004,4.0000400004000045e-09,7,8,8.52368523685237e-05
8,2018-05-31 18:45:23.102590,0.0004,4.0000400004000045e-09,3,48,8.53408534085341e-05
9,2018-05-31 18:45:24.044584,0.0004,4.0000400004000045e-09,4,25,8.525685256852569e-05
10,2018-05-31 18:45:25.099584,0.0004,4.0000400004000045e-09,3,1,8.530085300853009e-05
11,2018-05-31 18:45:26.118584,0.0004,4.0000400004000045e-09,3,30,8.53368533685337e-05
12,2018-05-31 18:45:27.099585,0.0004,4.0000400004000045e-09,5,6,8.52808528085281e-05
13,2018-05-31 18:45:28.074593,0.0004,4.0000400004000045e-09,8,30,8.505685056850569e-05
14,2018-05-31 18:45:29.089585,0.0004,4.0000400004000045e-09,2,37,8.520485204852049e-05
15,2018-05-31 18:45:30.108586,0.0004,4.0000400004000045e-09,1,25,8.530485304853049e-05
16,2018-05-31 18:45:31.047584,0.0004,4.0000400004000045e-09,8,3,8.500485004850049e-05
17,2018-05-31 18:45:32.142586,0.0004,4.0000400004000045e-09,1,43,8.52168521685217e-05
18,2018-05-31 18:45:33.037585,0.0004,4.0000400004000045e-09,5,17,8.52808528085281e-05
19,2018-05-31 18:45:34.063585,0.0004,4.0000400004000045e-09,0,25,8.524885248852489e-05
20,2018-05-31 18:45:35.125585,0.0004,4.0000400004000045e-09,2,49,8.53208532085321e-05
21,2018-05-31 18:45:36.023584,0.0004,4.0000400004000045e-09,0,28,8.520085200852009e-05
22,2018-05-31 18:45:36.998586,0.0004,4.0000400004000045e-09,6,24,8.520485204852049e-05
23,2018-05-31 18:45:38.055586,0.0004,4.0000400004000045e-09,9,25,8.494884948849489e-05
24,2018-05-31 18:45:38.997585,0.0004,4.0000400004000045e-09,2,35,8.52368523685237e-05
25,2018-05-31 18:45:40.096587,0.0004,4.0000400004000045e-09,4,20,8.530085300853009e-05
26,2018-05-31 18:45:41.030704,0.0004,4.0000400004000045e-09,3,11,8.530885308853089e-05
27,2018-05-31 18:45:42.048787,0.0004,4.0000400004000045e-09,2,40,8.530085300853009e-05
28,2018-05-31 18:45:43.031776,0.0004,4.0000400004000045e-09,6,47,8.53168531685317e-05
29,2018-05-31 18:45:44.013782,0.0004,4.0000400004000045e-09,1,21,8.53208532085321e-05
30,2018-05-31 18:45:45.035778,0.0004,4.0000400004000045e-09,8,21,8.506485064850649e-05
31,2018-05-31 18:45:46.014776,0.0004,4.0000400004000045e-09,2,37,8.52808528085281e-05
32,2018-05-31 18:45:46.995777,0.0004,4.0000400004000045e-09,6,37,8.52288522885229e-05
33,2018-05-31 18:45:48.012775,0.0004,4.0000400004000045e-09,2,50,8.535685356853569e-05
34,2018-05-31 18:45:48.997776,0.0004,4.0000400004000045e-09,0,20,8.52928529285293e-05
35,2018-05-31 18:45:50.013792,0.0004,4.0000400004000045e-09,1,32,8.524885248852489e-05
36,2018-05-31 18:45:50.952775,0.0004,4.0000400004000045e-09,1,11,8.52368523685237e-05
37,2018-05-31 18:45:52.085778,0.0004,4.0000400004000045e-09,6,5,8.52888528885289e-05
38,2018-05-31 18:45:53.068776,0.0004,4.0000400004000045e-09,9,16,8.500885008850089e-05
39,2018-05-31 18:45:54.046775,0.0004,4.0000400004000045e-09,3,28,8.52248522485225e-05
40,2018-05-31 18:45:55.069779,0.0004,4.0000400004000045e-09,0,20,8.516085160851609e-05
41,2018-05-31 18:45:56.011776,0.0004,4.0000400004000045e-09,9,24,8.50448504485045e-05
42,2018-05-31 18:45:56.989778,0.0004,4.0000400004000045e-09,3,28,8.52448524485245e-05
43,2018-05-31 18:45:57.970777,0.0004,4.0000400004000045e-09,0,48,8.52768527685277e-05
44,2018-05-31 18:45:58.906775,0.0004,4.0000400004000045e-09,1,15,8.52768527685277e-05
45,2018-05-31 18:45:59.964777,0.0004,4.0000400004000045e-09,8,15,8.506485064850649e-05
46,2018-05-31 18:46:00.904777,0.0004,4.0000400004000045e-09,0,29,8.530085300853009e-05
47,2018-05-31 18:46:01.887778,0.0004,4.0000400004000045e-09,3,24,8.53368533685337e-05
48,2018-05-31 18:46:02.792775,0.0004,4.0000400004000045e-09,5,12,8.53328533285333e-05
49,2018-05-31 18:46:03.767779,0.0004,4.0000400004000045e-09,5,48,8.530085300853009e-05
50,2018-05-31 18:46:04.750781,0.0004,4.0000400004000045e-09,4,34,8.520085200852009e-05
51,2018-05-31 18:46:05.614788,0.0004,4.0000400004000045e-09,3,1,8.53368533685337e-05
52,2018-05-31 18:46:06.675780,0.0004,4.0000400004000045e-09,7,30,8.52928529285293e-05
53,2018-05-31 18:46:07.692777,0.0004,4.0000400004000045e-09,1,30,8.536085360853609e-05
54,2018-05-31 18:46:08.714775,0.0004,4.0000400004000045e-09,4,43,8.526485264852649e-05
55,2018-05-31 18:46:09.701775,0.0004,4.0000400004000045e-09,1,44,8.52368523685237e-05
56,2018-05-31 18:46:10.611776,0.0004,4.0000400004000045e-09,5,7,8.531285312853129e-05
57,2018-05-31 18:46:11.476776,0.0004,4.0000400004000045e-09,5,4,8.52248522485225e-05
58,2018-05-31 18:46:12.456776,0.0004,4.0000400004000045e-09,8,47,8.49728497284973e-05
59,2018-05-31 18:46:13.557775,0.0004,4.0000400004000045e-09,1,16,8.51848518485185e-05
60,2018-05-31 18:46:14.616810,0.0004,4.0000400004000045e-09,6,11,8.52768527685277e-05
61,2018-05-31 18:46:15.598821,0.0004,4.0000400004000045e-09,2,46,8.52248522485225e-05
62,2018-05-31 18:46:16.582818,0.0004,4.0000400004000045e-09,1,17,8.534885348853489e-05
63,2018-05-31 18:46:17.525834,0.0004,4.0000400004000045e-09,1,29,8.52808528085281e-05
64,2018-05-31 18:46:18.429837,0.0004,4.0000400004000045e-09,0,23,8.534885348853489e-05
65,2018-05-31 18:46:19.574861,0.0004,4.0000400004000045e-09,7,7,8.53368533685337e-05
66,2018-05-31 18:46:20.602851,0.0004,4.0000400004000045e-09,0,21,8.53728537285373e-05
67,2018-05-31 18:46:21.549850,0.0004,4.0000400004000045e-09,2,10,8.536485364853649e-05
68,2018-05-31 18:46:22.569859,0.0004,4.0000400004000045e-09,9,26,8.49408494084941e-05
69,2018-05-31 18:46:23.636872,0.0004,4.0000400004000045e-09,8,43,8.505685056850569e-05
70,2018-05-31 18:46:24.618872,0.0004,4.0000400004000045e-09,1,42,8.511685116851169e-05
71,2018-05-31 18:46:25.681889,0.0004,4.0000400004000045e-09,2,43,8.526485264852649e-05
72,2018-05-31 18:46:26.657878,0.0004,4.0000400004000045e-09,2,45,8.524885248852489e-05
73,2018-05-31 18:46:27.678885,0.0004,4.0000400004000045e-09,6,47,8.51728517285173e-05
74,2018-05-31 18:46:28.701929,0.0004,4.0000400004000045e-09,3,26,8.53168531685317e-05
