sample,time,window,precision,modulation,rx2rxtimeout
0,2018-05-31 20:15:16.037605,2.0,4.00000080000016e-07,0,0.4568764913752983
1,2018-05-31 20:15:27.908541,2.0,4.00000080000016e-07,0,0.45694649138929827
2,2018-05-31 20:15:31.830051,0.4,4.000004000004e-07,2,0.11434891434891435
3,2018-05-31 20:15:42.660367,1.0,2.00000040000008e-07,1,0.22843704568740913
4,2018-05-31 20:15:43.691815,0.02,2.0000200002000021e-07,7,0.004748847488474885
5,2018-05-31 20:15:44.720829,0.02,2.0000200002000021e-07,7,0.004738447384473845
6,2018-05-31 20:15:45.629594,0.002,2.0002000200020003e-07,8,0.0008672867286728674
7,2018-05-31 20:15:46.468558,0.002,2.0002000200020003e-07,9,0.0006028602860286029
8,2018-05-31 20:15:49.513935,0.2,2.000002000002e-07,3,0.05725745725745726
9,2018-05-31 20:15:50.573033,0.02,2.0000200002000021e-07,7,0.004748447484474845
10,2018-05-31 20:16:01.684014,1.0,2.00000040000008e-07,1,0.22853444570688913
11,2018-05-31 20:16:02.718184,0.02,2.0000200002000021e-07,7,0.004744647446474465
12,2018-05-31 20:16:05.906956,0.4,4.000004000004e-07,2,0.1143969143969144
13,2018-05-31 20:16:06.962832,0.02,2.0000200002000021e-07,7,0.004733047330473305
14,2018-05-31 20:16:08.127766,0.04,4.0000400004000043e-07,6,0.00934209342093421
15,2018-05-31 20:16:10.879092,0.1,1.000001000001e-07,4,0.02873962873962874
16,2018-05-31 20:16:13.803584,0.2,2.000002000002e-07,3,0.057229657229657234
17,2018-05-31 20:16:16.854778,0.4,4.000004000004e-07,2,0.1143921143921144
18,2018-05-31 20:16:17.753821,0.002,2.0002000200020003e-07,9,0.0006022602260226023
19,2018-05-31 20:16:18.842851,0.04,4.0000400004000043e-07,5,0.014424544245442456
20,2018-05-31 20:16:31.098722,2.0,4.00000080000016e-07,0,0.45701809140361827
21,2018-05-31 20:16:32.168859,0.02,2.0000200002000021e-07,7,0.004737647376473765
22,2018-05-31 20:16:43.360802,2.0,4.00000080000016e-07,0,0.4568240913648183
23,2018-05-31 20:16:44.511935,0.02,2.0000200002000021e-07,7,0.004742047420474205
24,2018-05-31 20:16:47.218091,0.4,4.000004000004e-07,2,0.11434491434491435
25,2018-05-31 20:16:49.694058,0.4,4.000004000004e-07,2,0.11431931431931433
26,2018-05-31 20:16:50.731419,0.04,4.0000400004000043e-07,6,0.00933529335293353
27,2018-05-31 20:17:01.717225,1.0,2.00000040000008e-07,1,0.22857704571540913
28,2018-05-31 20:17:04.242828,0.2,2.000002000002e-07,3,0.057256257256257256
29,2018-05-31 20:17:06.735198,0.4,4.000004000004e-07,2,0.11435611435611436
30,2018-05-31 20:17:09.140266,0.1,1.000001000001e-07,4,0.02872032872032872
31,2018-05-31 20:17:10.174363,0.02,2.0000200002000021e-07,7,0.004738247382473825
32,2018-05-31 20:17:11.144019,0.04,4.0000400004000043e-07,5,0.014435744357443575
33,2018-05-31 20:17:12.046730,0.002,2.0002000200020003e-07,8,0.0008726872687268727
34,2018-05-31 20:17:12.891546,0.002,2.0002000200020003e-07,9,0.0006078607860786079
35,2018-05-31 20:17:13.734408,0.002,2.0002000200020003e-07,8,0.0008736873687368737
36,2018-05-31 20:17:14.700926,0.02,2.0000200002000021e-07,7,0.004738247382473825
37,2018-05-31 20:17:25.296519,2.0,4.00000080000016e-07,0,0.4568176913635383
38,2018-05-31 20:17:35.695997,2.0,4.00000080000016e-07,0,0.4569396913879383
39,2018-05-31 20:17:44.619170,1.0,2.00000040000008e-07,1,0.22853864570772914
40,2018-05-31 20:17:45.649564,0.04,4.0000400004000043e-07,5,0.014432944329443295
41,2018-05-31 20:17:47.952200,0.1,1.000001000001e-07,4,0.028723228723228723
42,2018-05-31 20:17:48.894711,0.002,2.0002000200020003e-07,8,0.0008652865286528653
43,2018-05-31 20:17:51.309546,0.2,2.000002000002e-07,3,0.057268257268257274
44,2018-05-31 20:17:52.381128,0.04,4.0000400004000043e-07,5,0.014446544465444655
45,2018-05-31 20:17:53.289131,0.002,2.0002000200020003e-07,8,0.0008618861886188619
46,2018-05-31 20:18:03.937233,2.0,4.00000080000016e-07,0,0.45696049139209827
47,2018-05-31 20:18:06.443545,0.2,2.000002000002e-07,3,0.05726725726725727
48,2018-05-31 20:18:08.817017,0.4,4.000004000004e-07,2,0.11437411437411438
49,2018-05-31 20:18:11.135563,0.4,4.000004000004e-07,2,0.11434811434811436
50,2018-05-31 20:18:12.138819,0.04,4.0000400004000043e-07,5,0.014440944409444096
51,2018-05-31 20:18:13.113952,0.02,2.0000200002000021e-07,7,0.004740847408474085
52,2018-05-31 20:18:15.353033,0.2,2.000002000002e-07,3,0.05724285724285724
53,2018-05-31 20:18:24.361057,1.0,2.00000040000008e-07,1,0.22852184570436915
54,2018-05-31 20:18:35.069643,2.0,4.00000080000016e-07,0,0.45684889136977824
55,2018-05-31 20:18:37.550463,0.1,1.000001000001e-07,4,0.02871882871882872
56,2018-05-31 20:18:38.560239,0.04,4.0000400004000043e-07,6,0.00933929339293393
57,2018-05-31 20:18:39.458868,0.002,2.0002000200020003e-07,8,0.0008732873287328733
58,2018-05-31 20:18:40.431884,0.02,2.0000200002000021e-07,7,0.004741647416474165
59,2018-05-31 20:18:41.378667,0.002,2.0002000200020003e-07,9,0.0005982598259825983
60,2018-05-31 20:18:42.225572,0.002,2.0002000200020003e-07,8,0.0008754875487548755
61,2018-05-31 20:18:43.287732,0.04,4.0000400004000043e-07,5,0.014441744417444176
62,2018-05-31 20:18:44.332121,0.02,2.0000200002000021e-07,7,0.004736647366473665
63,2018-05-31 20:18:46.754750,0.2,2.000002000002e-07,3,0.05728165728165728
64,2018-05-31 20:18:47.837312,0.04,4.0000400004000043e-07,5,0.014437344373443736
65,2018-05-31 20:18:48.845725,0.02,2.0000200002000021e-07,7,0.004739247392473925
66,2018-05-31 20:18:49.751202,0.002,2.0002000200020003e-07,9,0.0006096609660966097
67,2018-05-31 20:18:50.594921,0.002,2.0002000200020003e-07,9,0.0006034603460346035
68,2018-05-31 20:18:51.604989,0.02,2.0000200002000021e-07,7,0.004741847418474185
69,2018-05-31 20:18:52.526257,0.02,2.0000200002000021e-07,7,0.0047468474684746855
70,2018-05-31 20:18:53.572623,0.02,2.0000200002000021e-07,7,0.004749247492474925
71,2018-05-31 20:19:02.679204,1.0,2.00000040000008e-07,1,0.22857424571484913
72,2018-05-31 20:19:14.816835,2.0,4.00000080000016e-07,0,0.4568992913798583
73,2018-05-31 20:19:15.860445,0.04,4.0000400004000043e-07,5,0.014428944289442896
74,2018-05-31 20:19:18.254795,0.2,2.000002000002e-07,3,0.057259857259857265
75,2018-05-31 20:19:19.157383,0.002,2.0002000200020003e-07,9,0.0006018601860186018
76,2018-05-31 20:19:20.141139,0.04,4.0000400004000043e-07,5,0.014438944389443896
77,2018-05-31 20:19:21.151883,0.04,4.0000400004000043e-07,6,0.00932529325293253
78,2018-05-31 20:19:31.724285,2.0,4.00000080000016e-07,0,0.4569760913952183
79,2018-05-31 20:19:34.179417,0.2,2.000002000002e-07,3,0.057262857262857264
80,2018-05-31 20:19:35.172883,0.02,2.0000200002000021e-07,7,0.004747047470474705
81,2018-05-31 20:19:36.138007,0.04,4.0000400004000043e-07,6,0.00932569325693257
82,2018-05-31 20:19:38.745929,0.1,1.000001000001e-07,4,0.02872882872882873
83,2018-05-31 20:19:39.751148,0.04,4.0000400004000043e-07,6,0.00933929339293393
84,2018-05-31 20:19:42.113335,0.2,2.000002000002e-07,3,0.05725705725705726
85,2018-05-31 20:19:44.458539,0.1,1.000001000001e-07,4,0.028741128741128743
86,2018-05-31 20:19:45.472621,0.04,4.0000400004000043e-07,5,0.014441344413444135
87,2018-05-31 20:19:46.432625,0.02,2.0000200002000021e-07,7,0.004743247432474325
88,2018-05-31 20:19:47.460616,0.04,4.0000400004000043e-07,5,0.014430544305443056
89,2018-05-31 20:19:48.374997,0.002,2.0002000200020003e-07,9,0.0006028602860286029
90,2018-05-31 20:19:50.877081,0.2,2.000002000002e-07,3,0.057264457264457266
91,2018-05-31 20:20:01.395294,2.0,4.00000080000016e-07,0,0.4570724914144983
92,2018-05-31 20:20:02.303464,0.002,2.0002000200020003e-07,9,0.0006044604460446045
93,2018-05-31 20:20:03.319862,0.04,4.0000400004000043e-07,6,0.00932769327693277
94,2018-05-31 20:20:05.834913,0.2,2.000002000002e-07,3,0.05726585726585727
95,2018-05-31 20:20:06.911365,0.04,4.0000400004000043e-07,5,0.014442944429444295
96,2018-05-31 20:20:09.213082,0.2,2.000002000002e-07,3,0.057271857271857275
97,2018-05-31 20:20:10.202568,0.04,4.0000400004000043e-07,6,0.00933409334093341
98,2018-05-31 20:20:11.109305,0.002,2.0002000200020003e-07,9,0.0005966596659665967
99,2018-05-31 20:20:13.547493,0.1,1.000001000001e-07,4,0.028723428723428725
100,2018-05-31 20:20:14.518668,0.04,4.0000400004000043e-07,6,0.00932609326093261
101,2018-05-31 20:20:16.677073,0.1,1.000001000001e-07,4,0.028723228723228723
102,2018-05-31 20:20:17.586394,0.002,2.0002000200020003e-07,9,0.0005978597859785979
103,2018-05-31 20:20:19.983892,0.1,1.000001000001e-07,4,0.028732628732628735
104,2018-05-31 20:20:20.997804,0.04,4.0000400004000043e-07,6,0.00932969329693297
105,2018-05-31 20:20:22.004449,0.04,4.0000400004000043e-07,5,0.014441744417444176
106,2018-05-31 20:20:24.992452,0.2,2.000002000002e-07,3,0.057291057291057296
107,2018-05-31 20:20:28.188332,0.1,1.000001000001e-07,4,0.028720428720428723
108,2018-05-31 20:20:31.834331,0.2,2.000002000002e-07,3,0.05727805727805728
109,2018-05-31 20:20:42.474610,2.0,4.00000080000016e-07,0,0.45692449138489827
110,2018-05-31 20:20:43.383831,0.002,2.0002000200020003e-07,8,0.0008618861886188619
111,2018-05-31 20:20:44.466900,0.02,2.0000200002000021e-07,7,0.004743847438474385
112,2018-05-31 20:20:45.441643,0.02,2.0000200002000021e-07,7,0.004735047350473505
113,2018-05-31 20:20:47.847950,0.2,2.000002000002e-07,3,0.05729065729065729
114,2018-05-31 20:20:56.636342,1.0,2.00000040000008e-07,1,0.22859664571932914
115,2018-05-31 20:20:59.144578,0.1,1.000001000001e-07,4,0.028715828715828718
116,2018-05-31 20:21:01.837396,0.4,4.000004000004e-07,2,0.11437931437931438
117,2018-05-31 20:21:02.860757,0.02,2.0000200002000021e-07,7,0.004744647446474465
118,2018-05-31 20:21:03.831780,0.04,4.0000400004000043e-07,6,0.00933489334893349
119,2018-05-31 20:21:04.820679,0.04,4.0000400004000043e-07,6,0.00932409324093241
120,2018-05-31 20:21:05.870462,0.04,4.0000400004000043e-07,6,0.00932569325693257
121,2018-05-31 20:21:06.781918,0.002,2.0002000200020003e-07,8,0.0008696869686968697
122,2018-05-31 20:21:07.633514,0.002,2.0002000200020003e-07,9,0.0005994599459945995
123,2018-05-31 20:21:09.954896,0.1,1.000001000001e-07,4,0.02871142871142871
124,2018-05-31 20:21:18.897148,1.0,2.00000040000008e-07,1,0.22855924571184913
125,2018-05-31 20:21:19.939666,0.04,4.0000400004000043e-07,6,0.00934369343693437
126,2018-05-31 20:21:20.847619,0.002,2.0002000200020003e-07,8,0.0008620862086208621
