sample,time,window,precision,modulation,band,measured
0,2018-06-14 08:55:55.390429,0.0002,2.0000200002000022e-09,2,37,6.725267252672528e-05
1,2018-06-14 08:55:56.242006,0.0002,2.0000200002000022e-09,5,48,6.737667376673767e-05
2,2018-06-14 08:55:57.106374,0.0002,2.0000200002000022e-09,9,36,6.731467314673147e-05
3,2018-06-14 08:55:57.934778,0.0002,2.0000200002000022e-09,2,47,6.737667376673767e-05
4,2018-06-14 08:55:58.765466,0.0002,2.0000200002000022e-09,7,35,6.785667856678567e-05
5,2018-06-14 08:55:59.672358,0.0002,2.0000200002000022e-09,5,51,6.735667356673567e-05
6,2018-06-14 08:56:00.584289,0.0002,2.0000200002000022e-09,6,40,7.812678126781268e-05
7,2018-06-14 08:56:01.506182,0.0002,2.0000200002000022e-09,0,47,6.727267272672727e-05
8,2018-06-14 08:56:02.338042,0.0002,2.0000200002000022e-09,3,50,6.756467564675647e-05
9,2018-06-14 08:56:03.206213,0.0002,2.0000200002000022e-09,1,17,6.721067210672107e-05
10,2018-06-14 08:56:04.113747,0.0002,2.0000200002000022e-09,3,36,7.812878128781288e-05
11,2018-06-14 08:56:04.954896,0.0002,2.0000200002000022e-09,3,2,6.721067210672107e-05
12,2018-06-14 08:56:05.913670,0.0002,2.0000200002000022e-09,8,8,7.812678126781268e-05
13,2018-06-14 08:56:06.816645,0.0002,2.0000200002000022e-09,2,32,6.735667356673567e-05
14,2018-06-14 08:56:07.760645,0.0002,2.0000200002000022e-09,0,15,6.731467314673147e-05
15,2018-06-14 08:56:08.705648,0.0002,2.0000200002000022e-09,0,10,6.731467314673147e-05
16,2018-06-14 08:56:09.569766,0.0002,2.0000200002000022e-09,2,35,6.737667376673767e-05
17,2018-06-14 08:56:10.514423,0.0002,2.0000200002000022e-09,7,51,6.987669876698768e-05
18,2018-06-14 08:56:11.427932,0.0002,2.0000200002000022e-09,0,23,6.721067210672107e-05
19,2018-06-14 08:56:12.341106,0.0002,2.0000200002000022e-09,2,39,6.725267252672528e-05
20,2018-06-14 08:56:13.223777,0.0002,2.0000200002000022e-09,6,11,7.812678126781268e-05
21,2018-06-14 08:56:14.057811,0.0002,2.0000200002000022e-09,1,51,7.812678126781268e-05
22,2018-06-14 08:56:14.929471,0.0002,2.0000200002000022e-09,9,17,6.727267272672727e-05
23,2018-06-14 08:56:15.812608,0.0002,2.0000200002000022e-09,6,48,6.733467334673348e-05
24,2018-06-14 08:56:16.692281,0.0002,2.0000200002000022e-09,9,50,7.810478104781049e-05
25,2018-06-14 08:56:17.513956,0.0002,2.0000200002000022e-09,1,30,6.721067210672107e-05
26,2018-06-14 08:56:18.414961,0.0002,2.0000200002000022e-09,1,18,6.721067210672107e-05
27,2018-06-14 08:56:19.322197,0.0002,2.0000200002000022e-09,9,33,6.727267272672727e-05
28,2018-06-14 08:56:20.194295,0.0002,2.0000200002000022e-09,8,30,6.720867208672087e-05
29,2018-06-14 08:56:21.029480,0.0002,2.0000200002000022e-09,5,11,6.731467314673147e-05
30,2018-06-14 08:56:21.908987,0.0002,2.0000200002000022e-09,8,39,6.727467274672747e-05
31,2018-06-14 08:56:22.758267,0.0002,2.0000200002000022e-09,4,29,6.733667336673368e-05
32,2018-06-14 08:56:23.590528,0.0002,2.0000200002000022e-09,6,21,6.721067210672107e-05
33,2018-06-14 08:56:24.417770,0.0002,2.0000200002000022e-09,2,3,6.725267252672528e-05
34,2018-06-14 08:56:25.248269,0.0002,2.0000200002000022e-09,8,13,6.731467314673147e-05
35,2018-06-14 08:56:26.130662,0.0002,2.0000200002000022e-09,7,6,6.727267272672727e-05
36,2018-06-14 08:56:27.014775,0.0002,2.0000200002000022e-09,4,48,6.733667336673368e-05
