sample,time,window,precision,modulation,band,payload,measured
0,2018-06-07 10:52:15.734570,0.002,2.000020000200002e-08,8,8,254,0.00048438484384843853
1,2018-06-07 10:52:16.593519,0.002,2.000020000200002e-08,0,29,254,0.0005268452684526845
2,2018-06-07 10:52:17.501211,0.002,2.000020000200002e-08,3,3,254,0.0005252052520525206
3,2018-06-07 10:52:18.358129,0.002,2.000020000200002e-08,9,37,254,0.0004852848528485285
4,2018-06-07 10:52:19.220437,0.002,2.000020000200002e-08,0,24,254,0.0005294652946529466
5,2018-06-07 10:52:20.095416,0.002,2.000020000200002e-08,1,5,254,0.0005278452784527846
6,2018-06-07 10:52:21.001996,0.002,2.000020000200002e-08,3,20,254,0.0005293852938529386
7,2018-06-07 10:52:21.861554,0.002,2.000020000200002e-08,3,23,254,0.0005303853038530386
8,2018-06-07 10:52:22.761373,0.002,2.000020000200002e-08,1,17,254,0.0005285652856528566
9,2018-06-07 10:52:23.667099,0.002,2.000020000200002e-08,3,49,254,0.0005316053160531605
10,2018-06-07 10:52:24.530298,0.002,2.000020000200002e-08,1,29,254,0.0005268452684526845
11,2018-06-07 10:52:25.387397,0.002,2.000020000200002e-08,9,30,254,0.00048438484384843853
12,2018-06-07 10:52:26.287594,0.002,2.000020000200002e-08,7,22,254,0.0005279052790527906
13,2018-06-07 10:52:27.158492,0.002,2.000020000200002e-08,9,32,254,0.00048518485184851853
14,2018-06-07 10:52:28.028973,0.002,2.000020000200002e-08,4,43,254,0.0005286252862528626
15,2018-06-07 10:52:28.894746,0.002,2.000020000200002e-08,7,17,254,0.0005303253032530326
16,2018-06-07 10:52:29.756605,0.002,2.000020000200002e-08,6,1,254,0.0005302853028530286
17,2018-06-07 10:52:30.606883,0.002,2.000020000200002e-08,9,34,254,0.00048524485244852455
18,2018-06-07 10:52:31.468037,0.002,2.000020000200002e-08,2,12,254,0.0005316253162531625
19,2018-06-07 10:52:32.376336,0.002,2.000020000200002e-08,4,19,254,0.0005275052750527506
20,2018-06-07 10:52:33.235843,0.002,2.000020000200002e-08,6,37,254,0.0005292852928529285
21,2018-06-07 10:52:34.105495,0.002,2.000020000200002e-08,2,35,254,0.0005250852508525086
22,2018-06-07 10:52:34.973096,0.002,2.000020000200002e-08,8,51,254,0.0004964849648496486
23,2018-06-07 10:52:35.837453,0.002,2.000020000200002e-08,7,51,254,0.0005294052940529406
24,2018-06-07 10:52:36.695916,0.002,2.000020000200002e-08,9,48,254,0.0004861248612486125
25,2018-06-07 10:52:37.555561,0.002,2.000020000200002e-08,5,18,254,0.0005260652606526065
26,2018-06-07 10:52:38.415761,0.002,2.000020000200002e-08,4,19,254,0.0005260652606526065
27,2018-06-07 10:52:39.273426,0.002,2.000020000200002e-08,8,0,254,0.0004886848868488685
28,2018-06-07 10:52:40.169805,0.002,2.000020000200002e-08,4,47,254,0.0005269252692526925
29,2018-06-07 10:52:41.025700,0.002,2.000020000200002e-08,9,7,254,0.0004852648526485265
30,2018-06-07 10:52:41.965916,0.002,2.000020000200002e-08,7,0,254,0.0005268852688526885
31,2018-06-07 10:52:42.835485,0.002,2.000020000200002e-08,4,40,254,0.0005277852778527786
32,2018-06-07 10:52:43.694666,0.002,2.000020000200002e-08,1,39,254,0.0005311653116531166
33,2018-06-07 10:52:44.552261,0.002,2.000020000200002e-08,5,22,254,0.0005261052610526105
34,2018-06-07 10:52:45.422242,0.002,2.000020000200002e-08,1,13,254,0.0005292252922529225
35,2018-06-07 10:52:46.327578,0.002,2.000020000200002e-08,2,23,254,0.0005278852788527886
36,2018-06-07 10:52:47.198602,0.002,2.000020000200002e-08,8,6,254,0.00048522485224852254
37,2018-06-07 10:52:48.065005,0.002,2.000020000200002e-08,6,0,254,0.0005268652686526865
38,2018-06-07 10:52:48.928411,0.002,2.000020000200002e-08,6,23,254,0.0005268452684526845
39,2018-06-07 10:52:49.797342,0.002,2.000020000200002e-08,7,0,254,0.0005275852758527586
40,2018-06-07 10:52:50.668608,0.002,2.000020000200002e-08,5,10,254,0.0005295052950529506
41,2018-06-07 10:52:51.581091,0.002,2.000020000200002e-08,9,1,254,0.0004851648516485165
42,2018-06-07 10:52:52.438152,0.002,2.000020000200002e-08,6,39,254,0.0005353053530535306
43,2018-06-07 10:52:53.299601,0.002,2.000020000200002e-08,7,32,254,0.0005304653046530465
44,2018-06-07 10:52:54.201191,0.002,2.000020000200002e-08,9,45,254,0.0004852648526485265
45,2018-06-07 10:52:55.102409,0.002,2.000020000200002e-08,0,5,254,0.0005268252682526825
46,2018-06-07 10:52:56.012057,0.002,2.000020000200002e-08,4,1,254,0.0005285652856528566
47,2018-06-07 10:52:56.883526,0.002,2.000020000200002e-08,3,19,254,0.0005382453824538246
48,2018-06-07 10:52:57.753798,0.002,2.000020000200002e-08,3,5,254,0.0005295052950529506
49,2018-06-07 10:52:58.661041,0.002,2.000020000200002e-08,7,24,254,0.0005303053030530306
50,2018-06-07 10:52:59.523064,0.002,2.000020000200002e-08,7,41,254,0.0005268052680526805
51,2018-06-07 10:53:00.382664,0.002,2.000020000200002e-08,5,48,254,0.0005251252512525126
52,2018-06-07 10:53:01.250257,0.002,2.000020000200002e-08,0,28,254,0.0005277252772527725
53,2018-06-07 10:53:02.265291,0.002,2.000020000200002e-08,0,21,254,0.0005268852688526885
54,2018-06-07 10:53:03.127092,0.002,2.000020000200002e-08,4,5,254,0.0005268252682526825
55,2018-06-07 10:53:03.997562,0.002,2.000020000200002e-08,6,42,254,0.0005279052790527906
56,2018-06-07 10:53:04.862881,0.002,2.000020000200002e-08,4,50,254,0.0005269452694526945
57,2018-06-07 10:53:05.719841,0.002,2.000020000200002e-08,3,26,254,0.0005261452614526145
58,2018-06-07 10:53:06.578045,0.002,2.000020000200002e-08,0,25,254,0.0005357253572535726
59,2018-06-07 10:53:07.439604,0.002,2.000020000200002e-08,2,39,254,0.0005387053870538706
