sample,time,window,precision,modulation,band,delay,sleep,wakeup
0,2018-06-07 09:57:41.145998,0.4,4.000040000400005e-06,6,16,0.17231433159435283,1.600016000160002e-05,0.00048800488004880054
1,2018-06-07 09:57:42.639533,0.4,4.000040000400005e-06,3,39,0.14504688334879076,1.600016000160002e-05,0.00048400484004840053
2,2018-06-07 09:57:44.071974,0.4,4.000040000400005e-06,3,26,0.058632214349331836,1.2000120001200014e-05,0.00048400484004840053
3,2018-06-07 09:57:45.434630,0.4,4.000040000400005e-06,3,42,0.13723663538323913,1.600016000160002e-05,0.00048800488004880054
4,2018-06-07 09:57:46.896210,0.4,4.000040000400005e-06,7,21,0.08613991744763778,1.600016000160002e-05,0.00048400484004840053
5,2018-06-07 09:57:48.296871,0.4,4.000040000400005e-06,4,10,0.17634844959704665,1.600016000160002e-05,0.00048400484004840053
6,2018-06-07 09:57:49.727077,0.4,4.000040000400005e-06,0,48,0.1889772336589981,1.2000120001200014e-05,0.0004800048000480005
7,2018-06-07 09:57:51.155179,0.4,4.000040000400005e-06,4,44,0.1882705179640188,1.600016000160002e-05,0.00048400484004840053
8,2018-06-07 09:57:52.521014,0.4,4.000040000400005e-06,7,24,0.19314838219915767,1.600016000160002e-05,0.00048400484004840053
9,2018-06-07 09:57:53.996084,0.4,4.000040000400005e-06,7,9,0.023691330296468794,1.600016000160002e-05,0.00048400484004840053
10,2018-06-07 09:57:55.427955,0.4,4.000040000400005e-06,0,45,0.18768709329041178,1.600016000160002e-05,0.00048400484004840053
11,2018-06-07 09:57:56.830671,0.4,4.000040000400005e-06,6,11,0.057082988632399356,1.600016000160002e-05,0.00048800488004880054
12,2018-06-07 09:57:58.206427,0.4,4.000040000400005e-06,5,26,0.1412668047915658,1.600016000160002e-05,0.00048800488004880054
13,2018-06-07 09:57:59.574383,0.4,4.000040000400005e-06,6,26,0.024652502469569515,1.600016000160002e-05,0.0004800048000480005
14,2018-06-07 09:58:00.971570,0.4,4.000040000400005e-06,3,25,0.054803655103623394,1.2000120001200014e-05,0.00048400484004840053
