sample,time,window,precision,modulation,band,rx,sleep,period,measured
0,29:18.2,2,1.00E-07,2,32,5652,4047,setup,8.62E-05
1,29:18.2,2,1.00E-07,2,32,5652,4047,rx,0.087345204
2,29:18.2,2,1.00E-07,2,32,5652,4047,sleep,0.063157203
3,29:18.2,2,1.00E-07,2,32,5652,4047,rx,0.087351304
4,29:18.2,2,1.00E-07,2,32,5652,4047,sleep,0.063152503
5,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087341004
6,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063150903
7,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087361804
8,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063169503
9,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087365104
10,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063157403
11,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087336804
12,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063137403
13,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087336804
14,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063144803
15,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087344104
16,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063149803
17,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087325804
18,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063150303
19,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087340404
20,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063147103
21,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087333404
22,29:18.3,2,1.00E-07,2,32,5652,4047,sleep,0.063146603
23,29:18.3,2,1.00E-07,2,32,5652,4047,rx,0.087346104
24,30:10.6,2,1.00E-07,3,10,17584,30280,setup,8.62E-05
25,30:10.6,2,1.00E-07,3,10,17584,30280,rx,0.271731414
26,30:10.6,2,1.00E-07,3,10,17584,30280,sleep,0.468554423
27,30:10.6,2,1.00E-07,3,10,17584,30280,rx,0.271740914
28,30:10.6,2,1.00E-07,3,10,17584,30280,sleep,0.468570623
29,30:10.6,2,1.00E-07,3,10,17584,30280,rx,0.271783714
30,31:04.2,2,1.00E-07,6,50,18233,23079,setup,8.62E-05
31,31:04.2,2,1.00E-07,6,50,18233,23079,rx,0.281790314
32,31:04.2,2,1.00E-07,6,50,18233,23079,sleep,0.357276918
33,31:04.2,2,1.00E-07,6,50,18233,23079,rx,0.281756614
34,31:04.2,2,1.00E-07,6,50,18233,23079,sleep,0.357273918
35,31:04.2,2,1.00E-07,6,50,18233,23079,rx,0.281781114
36,31:56.1,2,1.00E-07,1,21,3114,29032,setup,8.62E-05
37,31:56.1,2,1.00E-07,1,21,3114,29032,rx,0.048149402
38,31:56.1,2,1.00E-07,1,21,3114,29032,sleep,0.449284322
39,31:56.1,2,1.00E-07,1,21,3114,29032,rx,0.048149602
40,31:56.1,2,1.00E-07,1,21,3114,29032,sleep,0.449235222
41,31:56.1,2,1.00E-07,1,21,3114,29032,rx,0.048143902
42,31:56.1,2,1.00E-07,1,21,3114,29032,sleep,0.449203822
43,31:56.1,2,1.00E-07,1,21,3114,29032,rx,0.048155002
44,32:47.2,2,1.00E-07,0,29,12142,5324,setup,8.63E-05
45,32:47.2,2,1.00E-07,0,29,12142,5324,rx,0.187669809
46,32:47.2,2,1.00E-07,0,29,12142,5324,sleep,0.082894804
47,32:47.2,2,1.00E-07,0,29,12142,5324,rx,0.187652209
48,32:47.2,2,1.00E-07,0,29,12142,5324,sleep,0.082898304
49,32:47.2,2,1.00E-07,0,29,12142,5324,rx,0.187652509
50,32:47.2,2,1.00E-07,0,29,12142,5324,sleep,0.082912304
51,32:47.2,2,1.00E-07,0,29,12142,5324,rx,0.187652809
52,32:47.2,2,1.00E-07,0,29,12142,5324,sleep,0.082886904
53,32:47.2,2,1.00E-07,0,29,12142,5324,rx,0.187616509
54,32:47.2,2,1.00E-07,0,29,12142,5324,sleep,0.082894104
55,32:47.2,2,1.00E-07,0,29,12142,5324,rx,0.187625909
56,32:47.2,2,1.00E-07,0,29,12142,5324,sleep,0.082882904
57,33:40.6,2,1.00E-07,4,33,26155,16923,setup,8.62E-05
58,33:40.6,2,1.00E-07,4,33,26155,16923,rx,0.40415692
59,33:40.6,2,1.00E-07,4,33,26155,16923,sleep,0.262091613
60,33:40.6,2,1.00E-07,4,33,26155,16923,rx,0.40415362
61,33:40.6,2,1.00E-07,4,33,26155,16923,sleep,0.262148913
62,33:40.6,2,1.00E-07,4,33,26155,16923,rx,0.40418722
63,34:34.4,2,1.00E-07,1,16,25695,26663,setup,8.62E-05
64,34:34.4,2,1.00E-07,1,16,25695,26663,rx,0.39704122
65,34:34.4,2,1.00E-07,1,16,25695,26663,sleep,0.412636121
66,34:34.4,2,1.00E-07,1,16,25695,26663,rx,0.39694342
67,34:34.4,2,1.00E-07,1,16,25695,26663,sleep,0.412595021
68,35:26.9,2,1.00E-07,1,6,29902,2699,setup,8.62E-05
69,35:26.9,2,1.00E-07,1,6,29902,2699,rx,0.462037723
70,35:26.9,2,1.00E-07,1,6,29902,2699,sleep,0.042358902
71,35:26.9,2,1.00E-07,1,6,29902,2699,rx,0.462083923
72,35:26.9,2,1.00E-07,1,6,29902,2699,sleep,0.042368602
73,35:26.9,2,1.00E-07,1,6,29902,2699,rx,0.462095823
74,35:26.9,2,1.00E-07,1,6,29902,2699,sleep,0.042358302
