sample,time,window,precision,modulation,band,preamble,offset,valid
0,2018-06-14 17:05:50.749044,0.04,4.004004004004004e-05,8,18,6,978,True
1,2018-06-14 17:05:54.056025,1.0,1.000010000100001e-05,3,28,11,1143351,False
2,2018-06-14 17:05:55.469012,0.1,1.0001000100010001e-05,6,44,5,108510,False
3,2018-06-14 17:05:56.828012,0.04,4.004004004004004e-05,9,26,11,5313,True
4,2018-06-14 17:05:58.395011,0.2,2.0002000200020003e-05,3,6,10,119134,False
5,2018-06-14 17:05:59.805038,0.1,1.0001000100010001e-05,7,20,4,31582,True
6,2018-06-14 17:06:05.655012,2.0,2.000020000200002e-05,1,43,6,3319930,False
7,2018-06-14 17:06:07.108009,0.1,1.0001000100010001e-05,7,33,5,27379,True
8,2018-06-14 17:06:08.513012,0.1,1.0001000100010001e-05,7,16,11,79601,False
9,2018-06-14 17:06:09.866040,0.04,4.004004004004004e-05,8,43,6,2825,True
10,2018-06-14 17:06:11.651011,0.4,4.0004000400040005e-05,2,48,7,528784,True
11,2018-06-14 17:06:14.997009,1.0,1.000010000100001e-05,3,51,11,1156824,False
12,2018-06-14 17:06:16.415012,0.1,1.0001000100010001e-05,6,4,6,44412,True
13,2018-06-14 17:06:17.773043,0.04,4.004004004004004e-05,8,3,10,4587,True
14,2018-06-14 17:06:19.360039,0.2,2.0002000200020003e-05,4,26,10,344942,True
15,2018-06-14 17:06:20.716013,0.04,4.004004004004004e-05,9,33,12,8256,False
16,2018-06-14 17:06:24.077459,1.0,1.000010000100001e-05,2,22,9,854528,True
17,2018-06-14 17:06:27.419462,1.0,1.000010000100001e-05,2,21,11,653784,True
18,2018-06-14 17:06:28.782492,0.04,4.004004004004004e-05,9,32,10,1010,True
19,2018-06-14 17:06:30.341467,0.2,2.0002000200020003e-05,3,7,6,85703,False
20,2018-06-14 17:06:33.927459,1.0,1.000010000100001e-05,1,40,7,1609163,True
21,2018-06-14 17:06:37.139459,1.0,1.000010000100001e-05,2,7,5,1439676,False
22,2018-06-14 17:06:38.598459,0.1,1.0001000100010001e-05,5,18,4,36833,False
23,2018-06-14 17:06:42.102494,1.0,1.000010000100001e-05,0,39,5,1307420,False
24,2018-06-14 17:06:52.947460,4.0,4.000040000400004e-05,0,4,8,4733230,True
25,2018-06-14 17:06:56.364462,1.0,1.000010000100001e-05,2,14,12,1116586,True
26,2018-06-14 17:07:07.176490,4.0,4.000040000400004e-05,0,44,7,6585763,False
27,2018-06-14 17:07:08.935471,0.4,4.0004000400040005e-05,2,29,4,243699,False
28,2018-06-14 17:07:10.480461,0.2,2.0002000200020003e-05,3,12,4,2622,False
29,2018-06-14 17:07:11.841461,0.04,4.004004004004004e-05,8,45,12,13399,False
30,2018-06-14 17:07:17.776461,2.0,2.000020000200002e-05,1,38,11,4814485,False
31,2018-06-14 17:07:23.606559,2.0,2.000020000200002e-05,1,44,12,3357481,True
32,2018-06-14 17:07:25.389561,0.4,4.0004000400040005e-05,2,11,8,356295,True
33,2018-06-14 17:07:27.112559,0.4,4.0004000400040005e-05,3,48,3,468479,True
34,2018-06-14 17:07:28.672559,0.2,2.0002000200020003e-05,5,25,6,190368,False
35,2018-06-14 17:07:32.030156,1.0,1.000010000100001e-05,2,17,12,2513491,False
36,2018-06-14 17:07:33.462709,0.1,1.0001000100010001e-05,6,13,6,68442,True
