sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
0,2018-06-18 11:44:45.812026,0.1,1.0001000100010001e-05,5,41,10,94119,148875,True
1,2018-06-18 11:44:51.230308,2.0,2.000020000200002e-05,0,46,4,4347289,5158562,True
2,2018-06-18 11:44:52.410492,0.04,4.004004004004004e-05,7,13,3,36975,43460,True
3,2018-06-18 11:44:57.894507,2.0,2.000020000200002e-05,0,17,7,4882214,7369274,True
4,2018-06-18 11:44:59.077824,0.04,4.004004004004004e-05,9,36,6,1239,1375,True
5,2018-06-18 11:45:02.121610,1.0,1.000010000100001e-05,2,10,10,2141438,2207979,False
6,2018-06-18 11:45:03.301536,0.04,4.004004004004004e-05,8,30,10,5375,11633,True
7,2018-06-18 11:45:06.264573,1.0,1.000010000100001e-05,1,51,5,2141893,2152106,True
8,2018-06-18 11:45:07.504464,0.1,1.0001000100010001e-05,6,42,7,9471,89434,False
9,2018-06-18 11:45:10.489459,1.0,1.000010000100001e-05,2,9,8,1901668,1926264,False
10,2018-06-18 11:45:13.427226,1.0,1.000010000100001e-05,0,47,5,1608642,3122009,False
11,2018-06-18 11:45:16.406036,1.0,1.000010000100001e-05,1,50,10,4369846,4659562,False
12,2018-06-18 11:45:17.583141,0.04,4.004004004004004e-05,9,23,2,465,830,False
13,2018-06-18 11:45:19.073865,0.4,4.0004000400040005e-05,2,12,10,448313,887008,False
14,2018-06-18 11:45:20.596359,0.4,4.0004000400040005e-05,2,9,7,425321,1190045,False
15,2018-06-18 11:45:21.828395,0.1,1.0001000100010001e-05,5,17,7,179236,228194,True
16,2018-06-18 11:45:23.000706,0.04,4.004004004004004e-05,7,5,10,13297,50970,False
17,2018-06-18 11:45:24.318095,0.2,2.0002000200020003e-05,3,25,6,148682,321298,False
18,2018-06-18 11:45:25.548638,0.1,1.0001000100010001e-05,4,1,6,51174,105605,False
19,2018-06-18 11:45:26.736289,0.04,4.004004004004004e-05,8,29,11,10846,12093,True
20,2018-06-18 11:45:27.982639,0.1,1.0001000100010001e-05,6,36,9,132188,151962,False
21,2018-06-18 11:45:30.958123,1.0,1.000010000100001e-05,1,32,5,1773421,2205259,True
22,2018-06-18 11:45:32.206045,0.1,1.0001000100010001e-05,4,5,4,292210,322857,True
23,2018-06-18 11:45:33.392277,0.04,4.004004004004004e-05,6,38,4,39928,67050,True
24,2018-06-18 11:45:34.617253,0.04,4.004004004004004e-05,7,50,8,18730,40925,True
25,2018-06-18 11:45:35.739522,0.04,4.004004004004004e-05,7,19,3,21654,40126,True
26,2018-06-18 11:45:36.965590,0.04,4.004004004004004e-05,8,45,9,4799,8380,True
27,2018-06-18 11:45:42.344732,2.0,2.000020000200002e-05,0,48,12,8346810,8858874,False
28,2018-06-18 11:45:43.643159,0.1,1.0001000100010001e-05,6,36,8,126883,126909,False
29,2018-06-18 11:45:44.796679,0.1,1.0001000100010001e-05,6,36,12,60674,153368,True
30,2018-06-18 11:45:45.949630,0.1,1.0001000100010001e-05,5,38,10,33258,175691,False
31,2018-06-18 11:45:47.121566,0.04,4.004004004004004e-05,8,1,10,4470,6595,True
32,2018-06-18 11:45:52.494074,2.0,2.000020000200002e-05,0,9,9,3459288,3583945,True
33,2018-06-18 11:45:55.462527,1.0,1.000010000100001e-05,1,20,4,2521803,2664972,False
34,2018-06-18 11:45:56.649246,0.04,4.004004004004004e-05,7,8,7,28149,32332,True
35,2018-06-18 11:46:02.067108,2.0,2.000020000200002e-05,0,16,6,6104812,6711574,False
36,2018-06-18 11:46:07.434216,2.0,2.000020000200002e-05,0,19,6,2877971,4594553,True
37,2018-06-18 11:46:08.723745,0.1,1.0001000100010001e-05,5,50,5,188554,188947,False
38,2018-06-18 11:46:11.729974,1.0,1.000010000100001e-05,1,16,8,2443482,3305101,True
39,2018-06-18 11:46:12.908016,0.04,4.004004004004004e-05,8,31,11,10062,13000,True
40,2018-06-18 11:46:15.871782,1.0,1.000010000100001e-05,1,15,6,3349452,3356630,False
41,2018-06-18 11:46:17.104176,0.1,1.0001000100010001e-05,5,46,12,237490,258235,False
42,2018-06-18 11:46:18.254173,0.1,1.0001000100010001e-05,6,50,11,45525,158443,True
43,2018-06-18 11:46:21.273325,1.0,1.000010000100001e-05,1,47,8,776654,2210224,False
44,2018-06-18 11:46:22.458025,0.04,4.004004004004004e-05,9,20,9,5972,7112,False
45,2018-06-18 11:46:23.728130,0.1,1.0001000100010001e-05,6,10,5,103923,112494,True
46,2018-06-18 11:46:24.891639,0.04,4.004004004004004e-05,7,44,6,5379,41256,False
47,2018-06-18 11:46:26.013275,0.04,4.004004004004004e-05,7,46,6,36654,60254,True
48,2018-06-18 11:46:27.288413,0.1,1.0001000100010001e-05,5,20,10,200188,270278,True
49,2018-06-18 11:46:28.463761,0.04,4.004004004004004e-05,9,47,11,2283,8465,True
50,2018-06-18 11:46:29.687920,0.04,4.004004004004004e-05,9,14,9,4546,4700,True
