sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
0,00:00.0,2,2.00E-05,1,31,10,4132243,8600618,False
1,00:00.0,0.4,4.00E-05,3,9,10,651780,1645054,True
2,00:00.0,0.04,4.00E-05,8,9,9,11087,22606,False
3,00:00.0,0.04,4.00E-05,7,35,5,2182,30321,False
4,00:00.0,0.1,1.00E-05,3,49,4,11720,160117,False
5,00:00.0,0.1,1.00E-05,6,17,11,122594,285106,True
6,00:00.0,0.1,1.00E-05,6,47,4,73877,160984,True
7,00:00.0,0.04,4.00E-05,9,3,6,3879,8607,True
8,00:00.0,0.1,1.00E-05,5,27,4,160422,323779,False
9,00:00.0,0.1,1.00E-05,4,50,3,75131,268745,False
10,00:00.0,0.1,1.00E-05,5,7,8,96122,305884,True
11,00:00.0,1,1.00E-05,2,4,7,634669,2422113,True
12,00:00.0,2,2.00E-05,0,47,7,3789116,8110886,True
13,00:00.0,0.04,4.00E-05,7,44,5,34364,84130,True
14,00:00.0,0.1,1.00E-05,5,16,5,87677,203159,True
15,00:00.0,0.1,1.00E-05,6,21,10,88470,250210,True
16,00:00.0,0.1,1.00E-05,6,47,10,94751,214214,True
17,00:00.0,0.4,4.00E-05,3,36,8,92974,996112,False
18,00:00.0,0.1,1.00E-05,6,44,10,136094,299653,False
19,00:00.0,0.1,1.00E-05,4,30,4,56679,272859,False
20,00:00.0,0.2,2.00E-05,4,31,11,339891,789176,True
21,00:00.0,0.04,4.00E-05,8,28,9,7600,17912,True
22,00:00.0,1,1.00E-05,2,3,12,1675410,4169855,True
23,00:00.0,0.4,4.00E-05,3,30,10,206117,775951,False
24,00:00.0,0.2,2.00E-05,4,39,3,219802,457841,True
25,00:00.0,0.1,1.00E-05,7,27,4,51341,103796,False
26,00:00.0,1,1.00E-05,2,2,5,1152755,2557734,True
27,00:00.0,0.04,4.00E-05,7,41,11,4394,84846,False
28,00:00.0,0.04,4.00E-05,7,26,10,30490,79944,True
29,00:00.0,0.1,1.00E-05,5,49,8,14353,140016,False
30,00:00.0,4,4.00E-05,0,25,12,7094580,17538996,False
31,00:00.0,0.04,4.00E-05,9,30,9,1868,5967,True
32,00:00.0,0.4,4.00E-05,1,21,5,375218,1261957,False
33,00:00.0,0.04,4.00E-05,8,31,6,757,2154,True
34,00:00.0,4,4.00E-05,0,30,11,5707617,15057047,True
35,00:00.0,4,4.00E-05,0,7,7,4551699,10512479,True
36,00:00.0,1,1.00E-05,1,0,9,884447,4099114,False
37,00:00.0,0.04,4.00E-05,7,15,7,40117,83065,True
38,00:00.0,0.2,2.00E-05,5,12,10,228220,463826,False
39,00:00.0,0.2,2.00E-05,5,47,11,260890,561181,False
40,00:00.0,2,2.00E-05,1,41,12,2970344,6111418,True
41,00:00.0,2,2.00E-05,1,13,11,4671450,9529162,False
42,00:00.0,0.04,4.00E-05,8,0,8,9747,19759,False
43,00:00.0,0.04,4.00E-05,7,21,10,11699,32861,False
44,00:00.0,1,1.00E-05,2,30,6,1050714,2471612,True
45,00:00.0,0.4,4.00E-05,3,3,11,820792,1853731,True
46,00:00.0,0.4,4.00E-05,2,27,3,554571,1113958,True
47,00:00.0,0.04,4.00E-05,9,45,2,1062,2402,True
48,00:00.0,0.04,4.00E-05,9,49,11,1150,6954,False
49,00:00.0,0.4,4.00E-05,3,6,10,851034,1973001,False
50,00:00.0,0.2,2.00E-05,5,47,12,199174,495272,True
51,00:00.0,0.4,4.00E-05,3,12,8,828023,1803333,False
52,00:00.0,1,1.00E-05,1,13,7,1316999,4131353,True
53,00:00.0,0.1,1.00E-05,4,41,8,20891,59006,False
54,00:00.0,0.4,4.00E-05,2,22,3,700317,1709456,True
55,00:00.0,2,2.00E-05,1,34,10,2242881,5942392,True
56,00:00.0,1,1.00E-05,1,22,11,1053062,4388542,True
57,00:00.0,0.2,2.00E-05,4,31,5,258828,549665,True
58,00:00.0,0.4,4.00E-05,4,39,11,540628,1153344,False
59,00:00.0,0.1,1.00E-05,5,44,8,182814,426820,True
60,00:00.0,0.1,1.00E-05,5,37,5,141407,295164,True
61,00:00.0,0.04,4.00E-05,9,37,7,483,4817,False
62,00:00.0,0.4,4.00E-05,3,44,8,866929,1764223,False
