sample,time,window,precision,offset,measured
0,2018-06-07 15:20:36.306386,0.001,1.000001000001e-09,2978,0.0003741843741843742
1,2018-06-07 15:20:38.524536,0.002,2.000002000002e-09,4681,0.0005871205871205872
2,2018-06-07 15:20:40.696967,0.002,2.000002000002e-09,4642,0.0005822065822065822
3,2018-06-07 15:20:43.001498,0.001,1.000001000001e-09,2631,0.0003308703308703309
4,2018-06-07 15:20:45.198501,0.002,2.000002000002e-09,4494,0.0005637825637825638
5,2018-06-07 15:20:47.409933,0.002,2.000002000002e-09,4104,0.000514978514978515
6,2018-06-07 15:20:50.301360,0.002,2.000002000002e-09,4870,0.0006107166107166107
7,2018-06-07 15:20:52.647460,0.002,2.000002000002e-09,5601,0.0007021347021347021
8,2018-06-07 15:20:54.874215,0.001,1.000001000001e-09,3784,0.00047493347493347495
9,2018-06-07 15:20:55.882997,0.0004,4.0000400004000045e-09,1478,0.0001867618676186762
10,2018-06-07 15:20:58.761388,0.002,2.000002000002e-09,4110,0.0005157065157065157
11,2018-06-07 15:21:01.155194,0.002,2.000002000002e-09,5253,0.0006585746585746586
12,2018-06-07 15:21:03.466929,0.002,2.000002000002e-09,7878,0.0009867589867589867
13,2018-06-07 15:21:04.426218,0.0004,4.0000400004000045e-09,1560,0.00019704197041970422
14,2018-06-07 15:21:07.046783,0.001,1.000001000001e-09,3665,0.0004600774600774601
15,2018-06-07 15:21:09.483659,0.002,2.000002000002e-09,4352,0.000545936545936546
16,2018-06-07 15:21:12.005179,0.002,2.000002000002e-09,7708,0.0009654249654249654
17,2018-06-07 15:21:14.408350,0.002,2.000002000002e-09,6810,0.0008531988531988533
18,2018-06-07 15:21:15.408202,0.0004,4.0000400004000045e-09,1285,0.00016258562585625859
19,2018-06-07 15:21:17.792186,0.002,2.000002000002e-09,6166,0.0007727507727507728
20,2018-06-07 15:21:20.188517,0.002,2.000002000002e-09,4333,0.0005435905435905436
21,2018-06-07 15:21:22.662930,0.002,2.000002000002e-09,5007,0.0006278966278966279
22,2018-06-07 15:21:25.249039,0.001,1.000001000001e-09,2430,0.0003057683057683058
23,2018-06-07 15:21:27.916747,0.002,2.000002000002e-09,5834,0.0007312847312847314
24,2018-06-07 15:21:28.887230,0.0004,4.0000400004000045e-09,971,0.00012336523365233653
25,2018-06-07 15:21:31.276142,0.001,1.000001000001e-09,2540,0.0003194913194913195
26,2018-06-07 15:21:33.839052,0.001,1.000001000001e-09,2242,0.0002822072822072822
27,2018-06-07 15:21:36.180816,0.002,2.000002000002e-09,7476,0.0009363929363929365
28,2018-06-07 15:21:38.489079,0.002,2.000002000002e-09,5213,0.0006535686535686536
29,2018-06-07 15:21:40.709378,0.002,2.000002000002e-09,7671,0.0009608389608389609
30,2018-06-07 15:21:42.918515,0.002,2.000002000002e-09,6000,0.000751952751952752
31,2018-06-07 15:21:45.072179,0.002,2.000002000002e-09,7353,0.000921020921020921
32,2018-06-07 15:21:47.475668,0.002,2.000002000002e-09,6794,0.0008512388512388513
33,2018-06-07 15:21:49.973950,0.002,2.000002000002e-09,4585,0.0005751185751185752
34,2018-06-07 15:21:50.911728,0.0004,4.0000400004000045e-09,866,0.00011016510165101653
35,2018-06-07 15:21:53.661591,0.001,1.000001000001e-09,3130,0.0003931833931833932
36,2018-06-07 15:21:56.036898,0.001,1.000001000001e-09,3205,0.00040255040255040257
37,2018-06-07 15:21:58.835036,0.002,2.000002000002e-09,5405,0.0006776266776266776
38,2018-06-07 15:21:59.771803,0.0004,4.0000400004000045e-09,875,0.00011130511305113053
39,2018-06-07 15:22:02.648032,0.002,2.000002000002e-09,6465,0.0008100968100968101
40,2018-06-07 15:22:05.017175,0.001,1.000001000001e-09,2515,0.00031636531636531636
41,2018-06-07 15:22:07.442797,0.001,1.000001000001e-09,3898,0.0004892284892284893
42,2018-06-07 15:22:09.941100,0.002,2.000002000002e-09,6909,0.0008655368655368656
43,2018-06-07 15:22:12.246017,0.001,1.000001000001e-09,2645,0.0003326323326323326
44,2018-06-07 15:22:14.814489,0.001,1.000001000001e-09,3405,0.0004276304276304276
45,2018-06-07 15:22:17.462527,0.002,2.000002000002e-09,5130,0.0006432586432586433
46,2018-06-07 15:22:18.476620,0.0004,4.0000400004000045e-09,1154,0.00014622546225462256
47,2018-06-07 15:22:20.815560,0.001,1.000001000001e-09,3480,0.000437001437001437
48,2018-06-07 15:22:23.459653,0.001,1.000001000001e-09,3212,0.0004035104035104035
49,2018-06-07 15:22:25.920990,0.002,2.000002000002e-09,5763,0.0007224887224887225
50,2018-06-07 15:22:28.409956,0.002,2.000002000002e-09,4093,0.0005135525135525136
51,2018-06-07 15:22:30.576592,0.002,2.000002000002e-09,6894,0.0008637168637168637
52,2018-06-07 15:22:32.718414,0.002,2.000002000002e-09,4282,0.0005372365372365372
53,2018-06-07 15:22:33.693468,0.0004,4.0000400004000045e-09,1240,0.00015692556925569258
54,2018-06-07 15:22:36.278934,0.001,1.000001000001e-09,3630,0.00045572645572645575
55,2018-06-07 15:22:38.664024,0.001,1.000001000001e-09,1963,0.00024735824735824737
56,2018-06-07 15:22:41.029543,0.001,1.000001000001e-09,2132,0.00026852226852226854
57,2018-06-07 15:22:43.475168,0.001,1.000001000001e-09,3264,0.00040995440995440996
58,2018-06-07 15:22:44.527421,0.0004,4.0000400004000045e-09,1587,0.00020037400374003743
59,2018-06-07 15:22:45.473778,0.0004,4.0000400004000045e-09,1054,0.00013373333733337334
60,2018-06-07 15:22:48.126847,0.001,1.000001000001e-09,2021,0.00025454725454725457
61,2018-06-07 15:22:49.087437,0.0004,4.0000400004000045e-09,1570,0.0001982259822598226
62,2018-06-07 15:22:51.447559,0.001,1.000001000001e-09,2849,0.0003580723580723581
63,2018-06-07 15:22:53.918743,0.002,2.000002000002e-09,5464,0.0006849566849566849
64,2018-06-07 15:22:54.925298,0.0004,4.0000400004000045e-09,1347,0.0001703617036170362
65,2018-06-07 15:22:57.627120,0.002,2.000002000002e-09,6924,0.0008674928674928676
66,2018-06-07 15:22:58.564849,0.0004,4.0000400004000045e-09,1521,0.0001921619216192162
67,2018-06-07 15:23:00.950268,0.002,2.000002000002e-09,7007,0.0008778748778748779
68,2018-06-07 15:23:03.160376,0.002,2.000002000002e-09,4631,0.0005809005809005809
69,2018-06-07 15:23:05.442257,0.001,1.000001000001e-09,3077,0.00038664638664638666
70,2018-06-07 15:23:07.758602,0.002,2.000002000002e-09,5982,0.0007496627496627496
71,2018-06-07 15:23:09.989476,0.001,1.000001000001e-09,3457,0.0004341104341104341
72,2018-06-07 15:23:12.355295,0.002,2.000002000002e-09,7249,0.0009080729080729081
73,2018-06-07 15:23:14.567640,0.002,2.000002000002e-09,6998,0.0008767428767428768
74,2018-06-07 15:23:17.153942,0.002,2.000002000002e-09,4116,0.0005165425165425166
75,2018-06-07 15:23:19.230500,0.002,2.000002000002e-09,7257,0.0009090809090809091
76,2018-06-07 15:23:20.164767,0.0004,4.0000400004000045e-09,1392,0.0001760177601776018
77,2018-06-07 15:23:22.327802,0.002,2.000002000002e-09,5271,0.0006608746608746609
78,2018-06-07 15:23:24.770266,0.001,1.000001000001e-09,3319,0.0004169034169034169
79,2018-06-07 15:23:27.024676,0.002,2.000002000002e-09,7630,0.0009557569557569558
80,2018-06-07 15:23:28.990496,0.001,1.000001000001e-09,2609,0.00032813532813532817
81,2018-06-07 15:23:31.187941,0.002,2.000002000002e-09,4049,0.0005080845080845081
82,2018-06-07 15:23:33.370087,0.002,2.000002000002e-09,5660,0.0007093887093887094
83,2018-06-07 15:23:35.434398,0.001,1.000001000001e-09,1881,0.00023707923707923709
84,2018-06-07 15:23:37.540114,0.001,1.000001000001e-09,2918,0.00036673236673236674
85,2018-06-07 15:23:39.800856,0.002,2.000002000002e-09,4035,0.0005063165063165063
86,2018-06-07 15:23:41.906227,0.001,1.000001000001e-09,2183,0.00027487427487427486
