sample,time,window,precision,offset,measured
0,2018-06-07 14:42:48.002390,0.0002,2.0000020000020002e-10,468,6.051466051466052e-05
1,2018-06-07 14:42:50.258455,0.0002,2.0000020000020002e-10,439,5.6847856847856854e-05
2,2018-06-07 14:42:52.538065,0.0002,2.0000020000020002e-10,666,8.51936851936852e-05
3,2018-06-07 14:42:54.609950,0.0001,1.0000010000010001e-10,366,2.3835423835423837e-05
4,2018-06-07 14:42:57.029035,0.0001,1.0000010000010001e-10,289,1.903861903861904e-05
5,2018-06-07 14:42:59.299224,0.0001,1.0000010000010001e-10,183,1.2415312415312416e-05
6,2018-06-07 14:43:01.534516,0.0002,2.0000020000020002e-10,746,9.518609518609519e-05
7,2018-06-07 14:43:03.756099,0.0001,1.0000010000010001e-10,289,1.9075019075019077e-05
8,2018-06-07 14:43:05.939048,0.0002,2.0000020000020002e-10,438,5.676765676765677e-05
9,2018-06-07 14:43:07.963272,0.0002,2.0000020000020002e-10,456,5.901605901605902e-05
10,2018-06-07 14:43:10.131251,0.0002,2.0000020000020002e-10,663,8.480868480868482e-05
11,2018-06-07 14:43:12.520842,0.0001,1.0000010000010001e-10,164,1.1257211257211258e-05
12,2018-06-07 14:43:14.821753,0.0001,1.0000010000010001e-10,383,2.4911224911224914e-05
13,2018-06-07 14:43:17.190059,0.0002,2.0000020000020002e-10,576,7.401247401247402e-05
14,2018-06-07 14:43:18.125024,3.9999999999999996e-05,4.000040000400004e-10,133,1.8604986049860497e-05
15,2018-06-07 14:43:19.074330,3.9999999999999996e-05,4.000040000400004e-10,122,1.7170571705717055e-05
16,2018-06-07 14:43:21.242471,0.0001,1.0000010000010001e-10,373,2.4282924282924285e-05
17,2018-06-07 14:43:22.345295,3.9999999999999996e-05,4.000040000400004e-10,102,1.4676946769467695e-05
18,2018-06-07 14:43:24.723878,0.0002,2.0000020000020002e-10,415,5.390505390505391e-05
19,2018-06-07 14:43:26.904985,0.0002,2.0000020000020002e-10,682,8.724148724148724e-05
20,2018-06-07 14:43:29.154535,0.0001,1.0000010000010001e-10,240,1.5976115976115976e-05
21,2018-06-07 14:43:31.338312,0.0002,2.0000020000020002e-10,768,9.795289795289796e-05
22,2018-06-07 14:43:33.625746,0.0002,2.0000020000020002e-10,591,7.589047589047589e-05
23,2018-06-07 14:43:35.921323,0.0002,2.0000020000020002e-10,713,9.115709115709116e-05
24,2018-06-07 14:43:38.485450,0.0002,2.0000020000020002e-10,799,0.00010180830180830182
25,2018-06-07 14:43:40.730639,0.0001,1.0000010000010001e-10,397,2.581902581902582e-05
26,2018-06-07 14:43:42.979720,0.0001,1.0000010000010001e-10,282,1.8630718630718632e-05
27,2018-06-07 14:43:45.014267,0.0002,2.0000020000020002e-10,495,6.37966637966638e-05
