sample,time,window,precision,modulation,band,power,payload,tx2rf
0,2018-05-31 09:08:57.423063,0.0004,4.0000400004000045e-09,7,30,2,47,0.00012740127401274015
1,2018-05-31 09:08:58.361939,0.0004,4.0000400004000045e-09,5,27,4,38,0.00012573325733257335
2,2018-05-31 09:08:59.413686,0.0004,4.0000400004000045e-09,5,26,21,54,0.00012579725797257974
3,2018-05-31 09:09:00.398082,0.0004,4.0000400004000045e-09,8,1,7,61,0.00012587725877258774
4,2018-05-31 09:09:01.293219,0.0004,4.0000400004000045e-09,4,11,5,11,0.00012644526445264453
5,2018-05-31 09:09:02.183052,0.0004,4.0000400004000045e-09,8,10,3,17,0.00012584125841258413
6,2018-05-31 09:09:03.110249,0.0004,4.0000400004000045e-09,1,36,21,14,0.00012566925669256693
7,2018-05-31 09:09:04.064018,0.0004,4.0000400004000045e-09,2,33,-1,51,0.00012568125681256814
8,2018-05-31 09:09:05.001624,0.0004,4.0000400004000045e-09,5,20,17,45,0.00012639326393263934
9,2018-05-31 09:09:05.958867,0.0004,4.0000400004000045e-09,0,10,14,13,0.00012567325673256734
10,2018-05-31 09:09:06.904288,0.0004,4.0000400004000045e-09,1,42,19,38,0.00012577725777257774
11,2018-05-31 09:09:07.851343,0.0004,4.0000400004000045e-09,9,23,4,39,0.00012706127061270613
12,2018-05-31 09:09:08.814227,0.0004,4.0000400004000045e-09,0,49,7,20,0.00012578525785257854
13,2018-05-31 09:09:09.791881,0.0004,4.0000400004000045e-09,6,5,1,13,0.00012680526805268055
14,2018-05-31 09:09:10.745996,0.0004,4.0000400004000045e-09,1,34,17,44,0.00012576525765257653
15,2018-05-31 09:09:11.656704,0.0004,4.0000400004000045e-09,2,0,11,39,0.00012613726137261375
16,2018-05-31 09:09:12.550084,0.0004,4.0000400004000045e-09,6,36,4,11,0.00012614926149261493
17,2018-05-31 09:09:13.463284,0.0004,4.0000400004000045e-09,4,20,20,12,0.00012650526505265055
18,2018-05-31 09:09:14.384482,0.0004,4.0000400004000045e-09,0,24,8,10,0.00012567325673256734
19,2018-05-31 09:09:15.284701,0.0004,4.0000400004000045e-09,4,18,3,32,0.00012576525765257653
20,2018-05-31 09:09:16.186817,0.0004,4.0000400004000045e-09,2,50,15,57,0.00012568525685256854
21,2018-05-31 09:09:17.123166,0.0004,4.0000400004000045e-09,3,39,15,31,0.00012570525705257054
22,2018-05-31 09:09:18.029455,0.0004,4.0000400004000045e-09,3,20,20,27,0.00012709727097270974
23,2018-05-31 09:09:18.959912,0.0004,4.0000400004000045e-09,2,8,2,3,0.00012658526585265854
24,2018-05-31 09:09:19.904940,0.0004,4.0000400004000045e-09,6,14,16,54,0.00012584525845258453
25,2018-05-31 09:09:20.882515,0.0004,4.0000400004000045e-09,6,34,2,36,0.00012570125701257014
26,2018-05-31 09:09:21.825884,0.0004,4.0000400004000045e-09,5,36,18,55,0.00012617326173261734
27,2018-05-31 09:09:22.730018,0.0004,4.0000400004000045e-09,0,0,10,11,0.00012582925829258295
28,2018-05-31 09:09:23.652530,0.0004,4.0000400004000045e-09,8,39,8,44,0.00012650126501265014
29,2018-05-31 09:09:24.643129,0.0004,4.0000400004000045e-09,5,50,4,11,0.00012565725657256573
30,2018-05-31 09:09:25.638147,0.0004,4.0000400004000045e-09,3,39,17,26,0.00012766527665276654
31,2018-05-31 09:09:26.611755,0.0004,4.0000400004000045e-09,3,29,21,42,0.00012584925849258493
32,2018-05-31 09:09:27.520880,0.0004,4.0000400004000045e-09,0,30,18,60,0.00012679726797267974
33,2018-05-31 09:09:28.452141,0.0004,4.0000400004000045e-09,0,36,13,32,0.00012570525705257054
34,2018-05-31 09:09:29.373798,0.0004,4.0000400004000045e-09,2,21,0,24,0.00012592125921259215
35,2018-05-31 09:09:30.368246,0.0004,4.0000400004000045e-09,8,44,13,25,0.00012655326553265533
36,2018-05-31 09:09:31.330535,0.0004,4.0000400004000045e-09,5,40,17,25,0.00012566525665256653
37,2018-05-31 09:09:32.242770,0.0004,4.0000400004000045e-09,2,47,8,7,0.00012573725737257375
38,2018-05-31 09:09:33.166062,0.0004,4.0000400004000045e-09,2,0,12,41,0.00012655326553265533
39,2018-05-31 09:09:34.122764,0.0004,4.0000400004000045e-09,9,5,11,23,0.00012590925909259095
40,2018-05-31 09:09:35.049648,0.0004,4.0000400004000045e-09,0,22,11,33,0.00012653726537265375
41,2018-05-31 09:09:35.969387,0.0004,4.0000400004000045e-09,5,43,11,14,0.00012588925889258894
42,2018-05-31 09:09:36.863987,0.0004,4.0000400004000045e-09,3,51,15,44,0.00012569325693256934
43,2018-05-31 09:09:37.788433,0.0004,4.0000400004000045e-09,6,48,-2,5,0.00012572525725257255
44,2018-05-31 09:09:38.696703,0.0004,4.0000400004000045e-09,2,16,14,58,0.00012622926229262295
45,2018-05-31 09:09:39.776313,0.0004,4.0000400004000045e-09,0,15,9,26,0.00012572925729257295
46,2018-05-31 09:09:40.675381,0.0004,4.0000400004000045e-09,9,24,14,43,0.00012591725917259175
47,2018-05-31 09:09:41.576699,0.0004,4.0000400004000045e-09,0,29,22,45,0.00012658926589265894
48,2018-05-31 09:09:42.489871,0.0004,4.0000400004000045e-09,7,10,1,53,0.00012600126001260014
49,2018-05-31 09:09:43.382050,0.0004,4.0000400004000045e-09,3,18,19,26,0.00012717727177271774
50,2018-05-31 09:09:44.327315,0.0004,4.0000400004000045e-09,0,21,17,41,0.00012580125801258014
51,2018-05-31 09:09:45.265647,0.0004,4.0000400004000045e-09,7,19,1,19,0.00012795727957279574
52,2018-05-31 09:09:46.221008,0.0004,4.0000400004000045e-09,9,3,16,10,0.00012582925829258295
53,2018-05-31 09:09:47.129584,0.0004,4.0000400004000045e-09,6,9,12,64,0.00012628126281262814
54,2018-05-31 09:09:48.050005,0.0004,4.0000400004000045e-09,9,1,12,15,0.00012589325893258934
55,2018-05-31 09:09:49.034890,0.0004,4.0000400004000045e-09,3,5,7,30,0.00012686926869268694
56,2018-05-31 09:09:49.929861,0.0004,4.0000400004000045e-09,1,10,5,21,0.00012590525905259054
57,2018-05-31 09:09:50.850955,0.0004,4.0000400004000045e-09,2,36,-3,3,0.00012569325693256934
58,2018-05-31 09:09:51.766915,0.0004,4.0000400004000045e-09,7,7,16,14,0.00012594925949259493
59,2018-05-31 09:09:52.667507,0.0004,4.0000400004000045e-09,9,39,19,55,0.00012700127001270015
60,2018-05-31 09:09:53.608732,0.0004,4.0000400004000045e-09,3,11,17,62,0.00012581325813258135
61,2018-05-31 09:09:54.578789,0.0004,4.0000400004000045e-09,3,18,21,44,0.00012766927669276694
62,2018-05-31 09:09:55.565879,0.0004,4.0000400004000045e-09,3,19,22,35,0.00012747727477274774
63,2018-05-31 09:09:56.465129,0.0004,4.0000400004000045e-09,4,12,21,34,0.00012614126141261413
64,2018-05-31 09:09:57.395996,0.0004,4.0000400004000045e-09,5,33,17,29,0.00012598925989259894
65,2018-05-31 09:09:58.370256,0.0004,4.0000400004000045e-09,5,6,20,4,0.00012625726257262573
66,2018-05-31 09:09:59.316162,0.0004,4.0000400004000045e-09,6,6,17,63,0.00012574125741257413
67,2018-05-31 09:10:00.204989,0.0004,4.0000400004000045e-09,2,33,-1,30,0.00012668126681266814
68,2018-05-31 09:10:01.196056,0.0004,4.0000400004000045e-09,4,38,7,48,0.00012581325813258135
69,2018-05-31 09:10:02.188826,0.0004,4.0000400004000045e-09,4,49,15,63,0.00012652126521265215
