sample,time,window,precision,modulation,band,power,payload,tx2rxdone
0,2018-06-01 18:51:51.310280,0.002,2.002002002002002e-06,9,14,5,2,
1,2018-06-01 18:51:52.432017,0.1,1.0000100001000012e-06,7,10,22,74,0.046778467784677855
2,2018-06-01 18:51:53.677002,0.4,4.000040000400005e-06,4,15,-2,38,0.14972949729497298
3,2018-06-01 18:51:56.655919,1.0,1.000001000001e-06,4,35,15,102,0.31356531356531353
4,2018-06-01 18:51:57.639701,0.02,2.0002000200020003e-06,9,27,11,111,0.005228522852285229
5,2018-06-01 18:52:18.958502,10.0,2.00000040000008e-06,0,5,19,89,3.7090007418001485
6,2018-06-01 18:52:26.154171,4.0,4.000004000004e-06,1,1,8,44,1.1982931982931981
7,2018-06-01 18:52:27.372758,0.2,2.0000200002000023e-06,6,33,22,48,0.057520575205752066
8,2018-06-01 18:52:28.282434,0.02,2.0002000200020003e-06,9,47,17,109,0.005148514851485149
9,2018-06-01 18:52:49.022539,10.0,2.00000040000008e-06,0,38,21,60,2.726000545200109
10,2018-06-01 18:52:49.931483,0.004,4.004004004004004e-06,8,10,20,11,0.0018458458458458457
11,2018-06-01 18:52:50.834338,0.01,1.0001000100010001e-06,9,13,-3,68,0.0035083508350835083
12,2018-06-01 18:52:52.094517,0.4,4.000040000400005e-06,6,40,4,100,0.10107701077010772
13,2018-06-01 18:52:54.930352,1.0,1.000001000001e-06,5,17,11,114,0.1977351977351977
14,2018-06-01 18:53:30.168346,20.0,4.00000080000016e-06,0,36,2,126,5.019581003916201
15,2018-06-01 18:53:37.255715,4.0,4.000004000004e-06,2,8,14,124,1.2133092133092132
16,2018-06-01 18:53:38.289229,0.1,1.0000100001000012e-06,6,4,6,15,0.029361293612936133
17,2018-06-01 18:53:39.174217,0.01,1.0001000100010001e-06,9,35,10,58,0.0031073107310731073
18,2018-06-01 18:53:40.262538,0.2,2.0000200002000023e-06,7,36,-1,93,0.055798557985579866
19,2018-06-01 18:53:41.378317,0.2,2.0000200002000023e-06,7,7,21,128,0.07371873718737189
20,2018-06-01 18:54:02.135800,10.0,2.00000040000008e-06,1,24,-2,86,2.017364403472881
21,2018-06-01 18:54:09.473650,4.0,4.000004000004e-06,2,10,15,107,1.0903490903490902
22,2018-06-01 18:54:13.789748,2.0,2.000002000002e-06,1,27,19,20,0.7886387886387886
23,2018-06-01 18:54:15.007817,0.2,2.0000200002000023e-06,5,48,2,36,0.0800808008080081
24,2018-06-01 18:54:35.548636,10.0,2.00000040000008e-06,1,43,-3,122,2.6727185345437072
25,2018-06-01 18:54:36.498838,0.01,1.0001000100010001e-06,9,28,1,89,0.00434943494349435
26,2018-06-01 18:54:37.374603,0.01,1.0001000100010001e-06,8,21,20,56,0.004724472447244724
27,2018-06-01 18:54:40.217552,1.0,1.000001000001e-06,4,37,17,80,0.2622852622852623
28,2018-06-01 18:54:41.598635,0.4,4.000040000400005e-06,3,47,22,21,0.19698596985969863
29,2018-06-01 18:54:42.522499,0.01,1.0001000100010001e-06,8,42,20,42,0.0038283828382838286
30,2018-06-01 18:54:43.516957,0.1,1.0000100001000012e-06,6,34,1,18,0.031919319193191936
31,2018-06-01 18:54:44.584078,0.2,2.0000200002000023e-06,5,32,16,47,0.09545495454954551
32,2018-06-01 18:54:45.569573,0.1,1.0000100001000012e-06,5,28,-3,2,0.03389533895338954
33,2018-06-01 18:54:46.460396,0.04,4.0004000400040005e-06,7,39,15,12,0.014801480148014802
34,2018-06-01 18:54:49.348676,1.0,1.000001000001e-06,1,23,17,0,
35,2018-06-01 18:54:50.251740,0.002,2.002002002002002e-06,9,33,13,3,
36,2018-06-01 18:54:51.151226,0.01,1.0001000100010001e-06,9,5,2,53,0.0029082908290829082
37,2018-06-01 18:54:52.253044,0.2,2.0000200002000023e-06,7,45,22,115,0.06730067300673008
38,2018-06-01 18:55:12.811653,10.0,2.00000040000008e-06,0,49,21,103,4.2004748400949685
39,2018-06-01 18:55:19.846227,4.0,4.000004000004e-06,1,11,21,52,1.362093362093362
40,2018-06-01 18:55:40.151099,10.0,2.00000040000008e-06,1,31,18,97,2.1812824362564873
41,2018-06-01 18:55:44.549450,2.0,2.000002000002e-06,2,20,-1,57,0.6807566807566807
42,2018-06-01 18:55:45.449134,0.004,4.004004004004004e-06,8,3,0,2,
43,2018-06-01 18:55:46.365661,0.02,2.0002000200020003e-06,9,44,7,110,0.005188518851885189
44,2018-06-01 18:55:47.666617,0.4,4.000040000400005e-06,6,7,11,117,0.11640116401164013
45,2018-06-01 18:55:50.519176,1.0,1.000001000001e-06,4,0,22,57,0.20088620088620088
46,2018-06-01 18:55:55.610118,2.0,2.000002000002e-06,3,48,9,87,0.5041165041165041
47,2018-06-01 18:56:16.163621,10.0,2.00000040000008e-06,1,39,14,107,2.345162469032494
48,2018-06-01 18:56:17.439878,0.4,4.000040000400005e-06,5,31,-3,81,0.14661746617466176
49,2018-06-01 18:56:41.827271,10.0,2.00000040000008e-06,0,19,5,118,4.691986938397388
50,2018-06-01 18:56:43.046356,0.2,2.0000200002000023e-06,3,29,15,2,
51,2018-06-01 18:56:51.065419,4.0,4.000004000004e-06,1,48,-2,84,1.9355499355499353
52,2018-06-01 18:56:54.143267,1.0,1.000001000001e-06,5,6,1,120,0.20295520295520295
53,2018-06-01 18:56:55.097626,0.02,2.0002000200020003e-06,8,45,16,118,0.008692869286928693
54,2018-06-01 18:56:56.033440,0.01,1.0001000100010001e-06,9,29,17,82,0.0040684068406840685
55,2018-06-01 18:56:56.937725,0.01,1.0001000100010001e-06,9,51,-2,58,0.0031083108310831086
56,2018-06-01 18:57:00.851279,1.0,1.000001000001e-06,4,12,5,100,0.31348531348531344
57,2018-06-01 18:57:05.110182,1.0,1.000001000001e-06,5,41,19,126,0.21315421315421312
58,2018-06-01 18:57:06.065622,0.02,2.0002000200020003e-06,8,8,1,125,0.00914091409140914
59,2018-06-01 18:57:14.144005,4.0,4.000004000004e-06,2,36,20,103,1.0494330494330493
60,2018-06-01 18:57:19.276275,2.0,2.000002000002e-06,2,9,13,46,0.5987945987945987
61,2018-06-01 18:57:24.684549,2.0,2.000002000002e-06,3,15,0,93,0.5246565246565246
62,2018-06-01 18:57:30.655782,2.0,2.000002000002e-06,1,42,15,36,
63,2018-06-01 18:57:31.980503,0.4,4.000040000400005e-06,4,35,8,33,0.13944939449394497
64,2018-06-01 18:57:32.971502,0.02,2.0002000200020003e-06,8,6,14,113,0.008372837283728373
65,2018-06-01 18:57:38.713305,2.0,2.000002000002e-06,3,25,1,96,0.545074545074545
66,2018-06-01 18:57:39.667304,0.02,2.0002000200020003e-06,8,33,9,122,0.008948894889488948
67,2018-06-01 18:57:43.555716,1.0,1.000001000001e-06,4,34,1,70,0.23164923164923162
68,2018-06-01 18:57:46.689141,1.0,1.000001000001e-06,1,37,0,2,0.4609624609624609
69,2018-06-01 18:57:47.773368,0.2,2.0000200002000023e-06,6,13,12,81,0.0856788567885679
70,2018-06-01 18:58:11.809542,10.0,2.00000040000008e-06,1,20,9,89,2.017486403497281
71,2018-06-01 18:58:12.763051,0.02,2.0002000200020003e-06,9,25,13,107,0.005068506850685069
72,2018-06-01 18:58:13.685400,0.02,2.0002000200020003e-06,8,31,12,73,0.005812581258125813
73,2018-06-01 18:58:14.598818,0.02,2.0002000200020003e-06,8,30,3,68,0.005494549454945495
74,2018-06-01 18:58:15.694256,0.1,1.0000100001000012e-06,7,50,17,33,0.025079250792507928
75,2018-06-01 18:58:16.991255,0.4,4.000040000400005e-06,4,19,14,46,0.170209702097021
76,2018-06-01 18:58:18.195840,0.1,1.0000100001000012e-06,5,36,2,10,0.04417544175441755
77,2018-06-01 18:58:38.913466,10.0,2.00000040000008e-06,0,10,15,120,4.692068938413788
78,2018-06-01 18:58:59.140798,10.0,2.00000040000008e-06,0,51,21,92,3.872752774550555
79,2018-06-01 18:59:03.499321,2.0,2.000002000002e-06,3,40,-1,113,0.6269586269586269
80,2018-06-01 18:59:04.588198,0.2,2.0000200002000023e-06,7,35,18,103,0.06091860918609187
81,2018-06-01 18:59:08.908059,2.0,2.000002000002e-06,0,13,6,4,0.9237349237349236
82,2018-06-01 18:59:11.754694,1.0,1.000001000001e-06,5,4,22,124,0.20809620809620807
83,2018-06-01 18:59:12.721535,0.02,2.0002000200020003e-06,9,29,20,125,0.005788578857885788
84,2018-06-01 18:59:13.890351,0.4,4.000040000400005e-06,3,15,6,11,0.1559815598155982
85,2018-06-01 18:59:14.836359,0.02,2.0002000200020003e-06,8,20,0,93,0.007094709470947095
86,2018-06-01 18:59:15.735335,0.02,2.0002000200020003e-06,9,10,8,101,0.004826482648264826
87,2018-06-01 18:59:16.637546,0.04,4.0004000400040005e-06,7,8,1,5,0.010985098509850985
88,2018-06-01 18:59:37.129484,10.0,2.00000040000008e-06,0,35,-1,51,2.5620005124001026
89,2018-06-01 18:59:38.057309,0.02,2.0002000200020003e-06,8,5,-1,60,0.00498049804980498
90,2018-06-01 18:59:38.931258,0.01,1.0001000100010001e-06,9,36,0,48,0.0027102710271027105
91,2018-06-01 18:59:59.109095,10.0,2.00000040000008e-06,0,22,2,99,4.036668807333761
92,2018-06-01 19:00:00.168757,0.1,1.0000100001000012e-06,7,23,5,35,0.02634226342263423
93,2018-06-01 19:00:01.120078,0.1,1.0000100001000012e-06,7,28,14,58,0.03788237882378824
94,2018-06-01 19:00:02.059429,0.02,2.0002000200020003e-06,9,2,3,126,0.005826582658265827
95,2018-06-01 19:00:22.453744,10.0,2.00000040000008e-06,0,28,-2,62,2.889718577943716
96,2018-06-01 19:00:23.386112,0.04,4.0004000400040005e-06,7,42,-2,21,0.019881988198819884
97,2018-06-01 19:00:24.277146,0.01,1.0001000100010001e-06,8,0,-2,32,0.0031883188318831885
98,2018-06-01 19:00:25.483488,0.4,4.000040000400005e-06,5,11,5,64,0.12103721037210374
99,2018-06-01 19:00:46.029392,10.0,2.00000040000008e-06,1,45,14,97,2.1812864362572872
100,2018-06-01 19:00:47.291026,0.4,4.000040000400005e-06,4,23,21,23,0.11888518885188853
101,2018-06-01 19:00:48.374469,0.2,2.0000200002000023e-06,5,22,2,20,0.059518595185951866
102,2018-06-01 19:00:49.293515,0.01,1.0001000100010001e-06,8,10,4,30,0.0030603060306030605
103,2018-06-01 19:01:09.759047,10.0,2.00000040000008e-06,0,43,11,117,4.691948938389788
104,2018-06-01 19:01:11.094257,0.4,4.000040000400005e-06,6,7,3,114,0.11384113841138413
105,2018-06-01 19:01:12.228708,0.4,4.000040000400005e-06,3,42,22,10,0.15594155941559418
