sample,time,window,precision,modulation,band,power,payload,crc,tx2rxdone
0,35:12.2,10,5.00E-07,0,16,8,49,TRUE,2.39818212
1,35:14.8,0.1,1.00E-07,7,37,11,87,TRUE,0.051921952
2,36:03.4,10,5.00E-07,0,44,9,77,FALSE,3.217416661
3,36:13.5,1,2.00E-07,3,20,15,81,FALSE,0.463099293
4,36:14.7,0.02,2.00E-07,9,11,18,161,TRUE,0.007188072
5,36:47.6,2,4.00E-07,4,42,21,253,FALSE,
6,36:58.2,1,2.00E-07,3,41,-1,43,FALSE,0.278881656
7,36:59.4,0.01,1.00E-07,8,12,21,35,FALSE,0.003187332
8,37:08.5,1,2.00E-07,2,17,0,28,TRUE,0.434936487
9,37:17.2,1,2.00E-07,4,6,-2,121,TRUE,0.354545671
10,37:19.6,0.2,2.00E-07,5,33,2,34,TRUE,0.074918675
11,37:21.9,0.2,2.00E-07,3,22,16,0,TRUE,0.114938915
12,37:24.5,0.4,4.00E-07,6,25,22,182,TRUE,0.17013817
13,37:33.2,1,2.00E-07,4,11,11,126,FALSE,0.364744673
14,37:35.7,0.4,4.00E-07,7,24,3,186,TRUE,0.103078103
15,38:23.8,10,5.00E-07,0,1,2,109,FALSE,4.20052721
16,38:34.6,2,4.00E-07,4,38,8,208,FALSE,0.579702116
17,39:30.9,20,1.00E-06,0,4,19,247,FALSE,
18,39:50.2,0.01,1.00E-07,8,27,-1,59,FALSE,0.004723047
19,39:52.7,0.4,4.00E-07,6,37,7,179,FALSE,0.165059765
20,41:02.0,20,1.00E-06,0,8,-2,199,FALSE,
21,41:03.1,0.02,2.00E-07,9,26,0,137,FALSE,0.006150062
22,41:34.8,1,2.00E-07,6,7,0,250,TRUE,
23,41:46.7,2,4.00E-07,4,16,17,183,TRUE,0.518303704
24,41:48.9,0.1,1.00E-07,7,0,3,31,TRUE,0.023718324
25,41:51.6,0.4,4.00E-07,7,36,7,224,TRUE,0.122297722
26,42:00.8,1,2.00E-07,3,24,13,70,TRUE,0.422135884
27,42:01.9,0.01,1.00E-07,9,29,1,71,FALSE,0.003507135
28,42:03.0,0.04,4.00E-07,6,11,0,5,TRUE,0.019098991
29,42:04.2,0.04,4.00E-07,8,41,-3,188,TRUE,0.013108531
30,42:13.2,1,2.00E-07,3,22,12,62,TRUE,0.381219276
31,42:15.7,0.4,4.00E-07,7,16,9,196,FALSE,0.106938107
32,42:46.7,0.04,4.00E-07,8,50,-1,254,FALSE,
33,42:49.1,0.1,1.00E-07,7,5,19,41,TRUE,0.028839029
34,42:50.3,0.01,1.00E-07,9,12,13,94,TRUE,0.004507845
35,42:53.0,0.4,4.00E-07,6,50,15,220,TRUE,0.200938601
36,43:23.9,0.4,4.00E-07,7,27,0,251,FALSE,
37,44:11.9,10,5.00E-07,1,29,13,203,FALSE,4.065344703
38,44:13.2,0.04,4.00E-07,8,44,13,197,FALSE,0.013556136
39,44:24.2,2,4.00E-07,3,46,17,186,FALSE,0.934191387
40,44:26.4,0.2,2.00E-07,6,30,-1,100,TRUE,0.098539899
41,44:41.7,4,8.00E-07,2,14,2,202,FALSE,1.827645966
42,45:28.5,10,5.00E-07,0,33,4,138,FALSE,5.183514759
43,45:29.6,0.01,1.00E-07,9,29,20,83,FALSE,0.00398834
44,45:40.7,2,4.00E-07,4,13,8,225,TRUE,0.620782124
45,45:49.6,1,2.00E-07,3,44,3,50,TRUE,0.319836664
46,46:00.5,2,4.00E-07,0,43,12,7,TRUE,0.923755385
47,46:43.9,10,5.00E-07,1,30,17,247,TRUE,
48,47:40.0,10,5.00E-07,2,47,11,233,FALSE,2.073442104
49,47:42.4,0.4,4.00E-07,4,20,17,60,TRUE,0.200906201
50,47:44.8,0.4,4.00E-07,3,6,20,13,TRUE,0.155964556
51,47:46.0,0.04,4.00E-07,8,23,1,163,FALSE,0.011379714
52,47:48.5,0.4,4.00E-07,4,33,0,50,FALSE,0.17018617
53,47:51.0,0.4,4.00E-07,6,42,5,172,FALSE,0.15989816
54,47:52.1,0.01,1.00E-07,8,29,4,48,TRUE,0.004148841
55,48:39.3,10,5.00E-07,1,5,1,118,FALSE,2.508902625
56,48:41.8,0.4,4.00E-07,6,36,11,157,TRUE,0.147180547
57,48:50.6,1,2.00E-07,1,2,6,8,TRUE,0.542838509
58,48:53.2,0.4,4.00E-07,6,29,18,127,FALSE,0.121499321
59,49:24.8,1,2.00E-07,6,48,10,246,TRUE,
60,49:26.8,0.01,1.00E-07,9,3,15,92,TRUE,0.004427744
61,49:28.1,0.04,4.00E-07,8,11,-3,218,TRUE,0.01502815
62,49:30.7,0.4,4.00E-07,5,8,16,90,TRUE,0.156838157
63,49:33.1,0.2,2.00E-07,7,45,-2,132,TRUE,0.074958475
64,49:35.4,0.2,2.00E-07,7,42,0,96,TRUE,0.057001457
65,50:45.5,20,1.00E-06,0,39,15,177,TRUE,6.494275325
66,51:55.6,20,1.00E-06,0,38,9,202,TRUE,7.313465366
67,52:11.2,4,8.00E-07,2,48,0,216,TRUE,1.95056279
68,52:22.1,2,4.00E-07,4,49,7,203,TRUE,0.569504114
69,53:10.4,10,5.00E-07,1,47,-3,123,FALSE,2.59083963
70,53:21.5,2,4.00E-07,2,49,8,69,FALSE,0.721814544
71,54:00.2,10,5.00E-07,1,15,-2,252,FALSE,
72,54:11.5,2,4.00E-07,0,35,-1,4,TRUE,0.923635385
73,54:22.3,2,4.00E-07,3,25,-2,156,FALSE,0.790893358
74,54:23.2,0.004,4.00E-07,9,20,19,15,TRUE,0.001347735
75,54:34.4,2,4.00E-07,4,2,7,213,FALSE,0.589984518
76,55:21.8,10,5.00E-07,1,16,9,112,TRUE,2.427002621
77,55:24.4,0.4,4.00E-07,6,51,14,124,TRUE,0.119018119
78,55:33.4,1,2.00E-07,2,24,13,31,TRUE,0.435056087
79,56:41.9,20,1.00E-06,0,50,8,193,FALSE,6.985746349
80,56:57.3,4,8.00E-07,2,5,-2,207,TRUE,1.868683574
81,56:58.6,0.01,1.00E-07,8,49,3,54,FALSE,0.004404444
82,57:07.3,1,2.00E-07,4,50,11,104,TRUE,0.313544663
83,57:08.5,0.02,2.00E-07,9,15,18,203,FALSE,0.008787688
84,57:23.7,4,8.00E-07,0,21,1,48,TRUE,2.234503647
85,57:26.1,0.2,2.00E-07,6,11,12,61,FALSE,0.065180665
86,58:35.5,20,1.00E-06,0,28,5,140,TRUE,5.347322267
87,59:22.2,10,5.00E-07,1,44,11,142,FALSE,2.918557146
88,59:37.9,4,8.00E-07,1,11,19,51,FALSE,1.280131456
89,59:40.5,0.4,4.00E-07,5,8,4,70,TRUE,0.126156526
90,59:41.7,0.02,2.00E-07,9,13,4,151,FALSE,0.006707467
91,00:29.7,10,5.00E-07,1,31,10,201,FALSE,3.983529199
92,00:32.3,0.4,4.00E-07,5,9,14,128,FALSE,0.208074208
93,00:43.2,2,4.00E-07,3,26,18,137,FALSE,0.708933342
94,00:44.5,0.02,2.00E-07,9,17,1,231,TRUE,0.0099891
95,00:53.4,1,2.00E-07,3,35,11,31,TRUE,0.237877048
96,01:02.0,1,2.00E-07,4,44,2,143,TRUE,0.415904083
97,01:04.4,0.2,2.00E-07,7,46,11,166,TRUE,0.092839693
98,01:07.1,0.4,4.00E-07,7,23,-1,201,TRUE,0.110757711
99,01:09.7,0.4,4.00E-07,4,28,13,42,TRUE,0.15986576
100,01:41.3,1,2.00E-07,6,27,-1,249,TRUE,
101,01:43.3,0.01,1.00E-07,8,1,12,40,TRUE,0.003636736
102,02:52.0,20,1.00E-06,0,18,14,140,TRUE,5.347326267
103,03:35.3,10,5.00E-07,2,44,7,242,TRUE,
104,03:46.6,0.2,2.00E-07,7,14,-2,93,FALSE,0.054439054
105,03:49.1,0.4,4.00E-07,3,49,14,20,TRUE,0.196838597
106,03:51.4,0.1,1.00E-07,6,27,1,44,TRUE,0.052379952
107,04:38.2,10,5.00E-07,2,25,1,228,TRUE,2.073320104
108,04:40.7,0.4,4.00E-07,6,29,13,215,TRUE,0.198301398
109,04:43.2,0.4,4.00E-07,6,40,-2,149,FALSE,0.139458539
110,04:44.4,0.04,4.00E-07,7,38,1,26,TRUE,0.021161012
111,04:45.4,0.004,4.00E-07,9,2,16,23,FALSE,0.001587759
112,04:46.6,0.04,4.00E-07,8,21,3,213,TRUE,0.014708147
113,04:55.5,1,2.00E-07,4,27,2,141,TRUE,0.405744081
114,05:38.9,10,5.00E-07,1,40,7,242,TRUE,
115,05:50.4,0.4,4.00E-07,6,49,3,115,FALSE,0.111258911
116,05:59.2,1,2.00E-07,5,33,5,212,TRUE,0.336013467
117,06:46.0,10,5.00E-07,1,7,5,143,FALSE,2.918600646
