sample,time,window,precision,modulation,band,power,payload,measured
0,11:34.2,0.02,2.00E-08,7,36,19,1,0.007170047
2,11:38.3,0.002,2.00E-08,8,48,1,69,0.000906149
5,11:57.6,0.02,2.00E-08,7,29,-6,216,0.007171107
6,12:27.0,1,5.00E-08,1,36,-2,63,0.379069469
7,12:28.6,0.002,2.00E-08,9,4,-2,124,0.000624206
8,12:29.9,0.002,2.00E-08,8,10,16,146,0.000905249
10,12:40.2,0.1,2.00E-08,4,46,-9,38,0.047282429
12,13:12.0,1,5.00E-08,1,26,-8,216,0.379070769
13,13:13.5,0.002,2.00E-08,8,3,10,73,0.000906189
14,13:42.6,1,5.00E-08,0,45,-9,97,0.759871238
6232,25:17.1,0.04,4.00E-08,5,3,0,219,0.023734984
16,13:48.0,0.02,2.00E-08,7,18,7,243,0.007169307
18,13:58.5,0.02,2.00E-08,7,34,-13,48,0.007170607
20,14:35.0,1,5.00E-08,0,17,6,60,0.759867288
1332,50:57.7,0.04,4.00E-08,5,25,-2,98,0.023735104
22,15:05.8,1,5.00E-08,0,44,3,149,0.759868688
3287,50:24.7,0.04,4.00E-08,6,39,-6,252,0.014047374
24,15:09.7,0.002,2.00E-08,8,50,-14,83,0.000906809
25,15:17.6,0.1,2.00E-08,4,50,13,42,0.047283229
27,15:27.1,0.002,2.00E-08,9,31,0,223,0.000625066
28,15:55.7,1,5.00E-08,0,9,-15,103,0.759868188
29,15:57.2,0.002,2.00E-08,8,18,9,35,0.000905749
30,15:59.9,0.02,2.00E-08,7,45,-2,166,0.007168727
31,16:29.7,1,5.00E-08,0,36,9,230,0.759867938
4694,25:35.7,0.04,4.00E-08,6,39,1,91,0.014047694
33,16:33.9,0.002,2.00E-08,9,30,-14,31,0.000624146
34,16:35.3,0.002,2.00E-08,9,21,-9,108,0.000626506
35,16:36.6,0.002,2.00E-08,9,21,7,137,0.000623826
36,16:44.8,0.1,2.00E-08,4,9,12,244,0.047280669
37,16:52.8,0.1,2.00E-08,4,19,-4,193,0.047281789
38,17:01.0,0.1,2.00E-08,4,45,4,73,0.047283409
39,17:03.4,0.02,2.00E-08,7,46,2,144,0.007169267
40,17:05.7,0.02,2.00E-08,7,41,8,3,0.007168547
3824,10:13.7,0.04,4.00E-08,5,6,4,71,0.023735224
42,17:10.7,0.02,2.00E-08,7,0,-12,146,0.007173607
43,17:40.2,1,5.00E-08,0,0,13,197,0.759870188
44,17:41.8,0.002,2.00E-08,8,35,1,198,0.000906889
45,17:44.2,0.02,2.00E-08,7,41,18,223,0.007168827
46,17:52.3,0.1,2.00E-08,4,38,-11,125,0.047279889
47,17:53.9,0.002,2.00E-08,8,25,16,163,0.000904629
4920,58:32.4,0.04,4.00E-08,6,28,9,125,0.014047814
49,17:58.9,0.02,2.00E-08,7,5,-16,63,0.007169187
50,18:27.5,1,5.00E-08,1,27,18,113,0.379069619
7564,47:26.7,0.04,4.00E-08,5,45,7,139,0.023735264
52,18:31.6,0.002,2.00E-08,8,28,8,198,0.000905729
53,19:00.1,1,5.00E-08,0,3,-12,73,0.759868838
54,19:02.6,0.02,2.00E-08,7,24,6,224,0.007169247
55,19:31.4,1,5.00E-08,0,40,-9,135,0.759867188
56,20:00.4,1,5.00E-08,1,45,-13,225,0.379070669
