sample,time,window,precision,modulation,band,power,payload,tx2txdone
0,2018-06-06 20:55:09.899643,0.02,2.000002000002e-08,9,33,22,208,
1,2018-06-06 20:56:22.292244,20.0,1.0000000500000025e-06,0,34,21,148,
2,2018-06-06 20:56:24.562384,0.02,2.000002000002e-08,9,40,17,211,
3,2018-06-06 20:56:31.860041,0.2,4.0000008000001605e-08,6,12,9,87,
4,2018-06-06 20:56:34.028112,0.02,2.000002000002e-08,8,50,2,118,
5,2018-06-06 20:56:36.335429,0.04,4.000004000004e-08,9,28,13,240,
6,2018-06-06 20:57:03.137614,1.0,5.0000002500000126e-08,6,36,5,233,
7,2018-06-06 20:57:34.014470,0.04,4.000004000004e-08,9,24,3,242,
8,2018-06-06 20:58:05.791133,1.0,5.0000002500000126e-08,6,5,17,252,
9,2018-06-06 20:58:14.418054,0.4,8.000001600000321e-08,6,29,5,151,0.1442077888415578
10,2018-06-06 20:58:47.634976,4.0,2.000000100000005e-07,2,32,4,147,1.4112670705633537
11,2018-06-06 20:58:49.782970,0.02,2.000002000002e-08,8,50,1,126,0.009204249204249206
12,2018-06-06 20:58:51.822719,0.01,1.000001000001e-08,9,42,4,85,0.004192214192214192
13,2018-06-06 20:58:53.993007,0.01,1.000001000001e-08,9,42,-2,72,0.0036722536722536723
14,2018-06-06 20:59:01.495066,0.4,8.000001600000321e-08,7,6,-2,180,0.10036994007398803
15,2018-06-06 20:59:27.548425,1.0,5.0000002500000126e-08,6,21,11,224,0.20820801041040052
16,2018-06-06 20:59:28.618364,0.002,2.000020000200002e-08,9,3,-3,2,0.0008722487224872249
17,2018-06-06 20:59:54.241793,1.0,5.0000002500000126e-08,2,23,1,37,0.5101576255078812
18,2018-06-06 21:00:20.140337,1.0,5.0000002500000126e-08,3,35,-1,47,0.3166218658310933
19,2018-06-06 21:00:27.777773,0.4,8.000001600000321e-08,5,14,20,57,0.11003226200645241
20,2018-06-06 21:00:35.263231,0.4,8.000001600000321e-08,6,48,9,111,0.11092850218570045
21,2018-06-06 21:00:42.777779,0.4,8.000001600000321e-08,3,17,9,12,0.15278419055683812
22,2018-06-06 21:01:43.069566,20.0,1.0000000500000025e-06,1,45,13,253,
23,2018-06-06 21:03:01.323384,20.0,1.0000000500000025e-06,0,36,2,253,
24,2018-06-06 21:03:26.571780,0.2,4.0000008000001605e-08,7,16,19,82,0.05044885008977002
25,2018-06-06 21:03:28.792223,0.02,2.000002000002e-08,9,46,17,193,0.008514308514308514
26,2018-06-06 21:03:56.041028,1.0,5.0000002500000126e-08,5,16,3,190,0.30459001522950074
27,2018-06-06 21:04:03.161903,0.1,2.0000004000000802e-08,7,46,21,44,0.03125072625014525
28,2018-06-06 21:04:34.040321,0.04,4.000004000004e-08,9,44,18,251,
29,2018-06-06 21:05:00.097406,1.0,5.0000002500000126e-08,6,30,9,201,0.18772720938636048
30,2018-06-06 21:05:30.998198,0.04,4.000004000004e-08,9,30,22,247,
31,2018-06-06 21:05:59.981005,2.0,1.0000000500000025e-07,3,44,-1,136,0.7262191363109568
32,2018-06-06 21:06:25.863168,1.0,5.0000002500000126e-08,3,35,10,75,0.4395007219750361
33,2018-06-06 21:06:33.634125,0.4,8.000001600000321e-08,7,9,8,227,0.124687864937573
34,2018-06-06 21:07:00.705384,1.0,5.0000002500000126e-08,4,25,7,65,0.21985491099274557
35,2018-06-06 21:07:02.888974,0.04,4.000004000004e-08,8,51,16,165,0.011701451701451702
36,2018-06-06 21:07:29.729786,1.0,5.0000002500000126e-08,3,42,7,53,0.33710171685508583
37,2018-06-06 21:07:55.718791,1.0,5.0000002500000126e-08,5,34,10,190,0.30459001522950074
38,2018-06-06 21:08:24.720570,2.0,1.0000000500000025e-07,3,15,1,115,0.6238202311910116
39,2018-06-06 21:08:53.216973,2.0,1.0000000500000025e-07,2,12,7,57,0.6739953336997667
40,2018-06-06 21:08:55.414932,0.02,2.000002000002e-08,8,27,5,69,0.005556545556545557
41,2018-06-06 21:08:57.602627,0.04,4.000004000004e-08,7,18,4,22,0.01972889972889973
42,2018-06-06 21:09:05.093438,0.4,8.000001600000321e-08,7,6,5,227,0.124687784937557
43,2018-06-06 21:09:07.309977,0.02,2.000002000002e-08,9,22,21,122,0.0056734056734056735
44,2018-06-06 21:09:55.067249,10.0,5.000000250000012e-07,1,16,3,230,4.624547731227387
45,2018-06-06 21:10:02.233011,0.1,2.0000004000000802e-08,6,44,-2,26,0.03925070785014158
46,2018-06-06 21:10:35.447313,4.0,2.000000100000005e-07,3,0,13,214,1.0743744537187228
47,2018-06-06 21:11:03.786223,2.0,1.0000000500000025e-07,3,30,6,86,0.5009400250470013
48,2018-06-06 21:11:06.090925,0.04,4.000004000004e-08,8,2,4,164,0.011636771636771638
49,2018-06-06 21:11:32.093108,1.0,5.0000002500000126e-08,5,43,5,181,0.29435091471754576
50,2018-06-06 21:12:01.060230,2.0,1.0000000500000025e-07,3,50,9,106,0.5828593291429665
51,2018-06-06 21:12:46.336508,10.0,5.000000250000012e-07,2,36,19,247,
52,2018-06-06 21:13:28.689600,4.0,2.000000100000005e-07,0,44,5,22,1.548481677424084
53,2018-06-06 21:13:30.838877,0.01,1.000001000001e-08,9,12,20,66,0.003432793432793433
54,2018-06-06 21:13:38.061448,0.4,8.000001600000321e-08,3,3,16,14,0.17326339465267895
55,2018-06-06 21:13:40.153400,0.01,1.000001000001e-08,9,6,5,61,0.0032323132323132326
56,2018-06-06 21:14:28.491310,10.0,5.000000250000012e-07,0,17,16,104,4.169896708494835
57,2018-06-06 21:14:55.278542,1.0,5.0000002500000126e-08,6,49,6,221,0.20564701028235052
58,2018-06-06 21:14:57.357824,0.01,1.000001000001e-08,9,19,15,92,0.004472274472274472
59,2018-06-06 21:14:59.387118,0.01,1.000001000001e-08,9,5,0,52,0.0028722428722428722
60,2018-06-06 21:16:11.318755,20.0,1.0000000500000025e-06,0,28,-2,180,6.627471331373567
61,2018-06-06 21:16:18.435551,0.2,4.0000008000001605e-08,6,0,6,55,0.0622884524576905
62,2018-06-06 21:16:20.502913,0.04,4.000004000004e-08,8,27,19,144,0.010356210356210357
63,2018-06-06 21:17:08.808975,10.0,5.000000250000012e-07,1,35,6,211,4.214951710747585
64,2018-06-06 21:17:39.711758,0.04,4.000004000004e-08,9,1,20,244,
65,2018-06-06 21:18:09.063046,2.0,1.0000000500000025e-07,4,20,3,209,0.5884912294245614
66,2018-06-06 21:18:11.217026,0.01,1.000001000001e-08,9,25,11,49,0.0027534527534527537
67,2018-06-06 21:18:40.020109,2.0,1.0000000500000025e-07,1,40,-2,16,0.6924262346213117
68,2018-06-06 21:19:14.136510,4.0,2.000000100000005e-07,1,7,15,69,1.6754566837728342
69,2018-06-06 21:20:14.508276,20.0,1.0000000500000025e-06,0,45,22,250,
70,2018-06-06 21:20:34.885391,0.04,4.000004000004e-08,9,2,7,226,0.009832849832849834
71,2018-06-06 21:20:42.188414,0.2,4.0000008000001605e-08,7,12,5,81,0.05045057009011403
72,2018-06-06 21:20:49.732076,0.4,8.000001600000321e-08,7,50,18,199,0.11060898212179644
73,2018-06-06 21:21:16.153141,1.0,5.0000002500000126e-08,5,36,5,189,0.30459011522950574
74,2018-06-06 21:22:04.900961,10.0,5.000000250000012e-07,1,29,4,109,2.412729620636481
75,2018-06-06 21:22:31.412454,1.0,5.0000002500000126e-08,4,1,13,105,0.3222550161127508
76,2018-06-06 21:22:57.395967,1.0,5.0000002500000126e-08,5,15,1,229,0.3609094680454734
77,2018-06-06 21:22:59.541827,0.04,4.000004000004e-08,8,4,0,215,0.014900174900174902
78,2018-06-06 21:23:06.777931,0.4,8.000001600000321e-08,3,32,9,19,0.19374411874882377
79,2018-06-06 21:23:34.042257,1.0,5.0000002500000126e-08,6,24,12,232,0.21332836066641803
80,2018-06-06 21:24:02.906928,2.0,1.0000000500000025e-07,1,51,12,18,0.6924271346213567
81,2018-06-06 21:24:29.663412,1.0,5.0000002500000126e-08,5,26,4,214,0.34042966702148336
82,2018-06-06 21:24:37.138276,0.4,8.000001600000321e-08,7,51,12,170,0.09524809904961982
83,2018-06-06 21:24:44.018105,0.1,2.0000004000000802e-08,7,10,-1,35,0.026128885225777047
84,2018-06-06 21:25:17.507560,4.0,2.000000100000005e-07,1,30,1,59,1.5116180755809039
85,2018-06-06 21:25:46.223773,2.0,1.0000000500000025e-07,4,30,-1,214,0.5987311299365565
86,2018-06-06 21:26:58.212138,20.0,1.0000000500000025e-06,0,27,5,230,8.26585541329277
87,2018-06-06 21:27:32.113934,4.0,2.000000100000005e-07,3,12,6,188,0.9514960475748024
88,2018-06-06 21:28:32.409635,20.0,1.0000000500000025e-06,1,8,21,253,
89,2018-06-06 21:29:24.582289,4.0,2.000000100000005e-07,0,10,9,17,1.3846434692321734
90,2018-06-06 21:29:31.671341,0.2,4.0000008000001605e-08,6,33,17,68,0.07508837501767501
91,2018-06-06 21:29:33.961296,0.02,2.000002000002e-08,8,45,-2,99,0.007478147478147478
92,2018-06-06 21:30:22.561956,10.0,5.000000250000012e-07,1,5,18,233,4.624547231227361
93,2018-06-06 21:30:49.208980,1.0,5.0000002500000126e-08,3,30,-2,43,0.2961423148071157
94,2018-06-06 21:31:22.782121,4.0,2.000000100000005e-07,2,18,-2,190,1.7799034889951746
95,2018-06-06 21:31:30.348164,0.2,4.0000008000001605e-08,7,9,14,109,0.06452961290592259
96,2018-06-06 21:31:32.603490,0.02,2.000002000002e-08,7,9,22,3,0.00948900948900949
97,2018-06-06 21:31:40.249532,0.4,8.000001600000321e-08,6,11,19,122,0.12116818423363686
98,2018-06-06 21:32:08.694869,2.0,1.0000000500000025e-07,2,34,12,93,0.9607117480355875
99,2018-06-06 21:32:39.582742,0.4,8.000001600000321e-08,7,34,12,241,
100,2018-06-06 21:32:41.980884,0.01,1.000001000001e-08,9,26,1,55,0.0029923329923329926
101,2018-06-06 21:32:44.129390,0.01,1.000001000001e-08,8,51,13,33,0.0032522632522632524
102,2018-06-06 21:32:46.215517,0.01,1.000001000001e-08,9,22,12,62,0.0032722432722432724
103,2018-06-06 21:33:58.955997,20.0,1.0000000500000025e-06,0,29,-3,191,7.1189873559493675
104,2018-06-06 21:34:32.584722,4.0,2.000000100000005e-07,3,3,2,196,0.9924550496227525
105,2018-06-06 21:35:20.914555,10.0,5.000000250000012e-07,0,7,9,86,3.678380683919034
106,2018-06-06 21:35:28.255086,0.2,4.0000008000001605e-08,7,29,10,77,0.04788936957787392
107,2018-06-06 21:35:30.460756,0.02,2.000002000002e-08,9,33,15,143,0.006512286512286513
108,2018-06-06 21:35:32.595633,0.04,4.000004000004e-08,8,50,11,179,0.012596292596292597
109,2018-06-06 21:36:20.634999,10.0,5.000000250000012e-07,2,17,5,231,2.107580105379005
110,2018-06-06 21:36:22.810149,0.01,1.000001000001e-08,9,5,2,89,0.004352524352524353
111,2018-06-06 21:36:24.931717,0.04,4.000004000004e-08,8,33,13,177,0.01246821246821247
112,2018-06-06 21:36:51.436952,1.0,5.0000002500000126e-08,4,17,1,61,0.20961491048074551
113,2018-06-06 21:36:58.264148,0.1,2.0000004000000802e-08,6,9,20,18,0.031569806313961266
114,2018-06-06 21:37:00.425797,0.04,4.000004000004e-08,8,42,14,142,0.01022817022817023
115,2018-06-06 21:37:48.196402,10.0,5.000000250000012e-07,0,0,1,42,2.2038351101917555
116,2018-06-06 21:38:17.667399,2.0,1.0000000500000025e-07,4,23,5,177,0.5065734253286712
117,2018-06-06 21:39:06.116348,10.0,5.000000250000012e-07,0,34,21,91,3.8422191921109596
118,2018-06-06 21:39:13.558375,0.2,4.0000008000001605e-08,7,16,14,151,0.08628873725774747
119,2018-06-06 21:39:15.843091,0.04,4.000004000004e-08,8,25,-3,172,0.01214945214945215
120,2018-06-06 21:39:50.077246,4.0,2.000000100000005e-07,2,51,9,104,1.0426312521315626
121,2018-06-06 21:40:38.092983,10.0,5.000000250000012e-07,1,6,22,168,3.4776786738839336
122,2018-06-06 21:40:45.097070,0.2,4.0000008000001605e-08,4,1,2,22,0.1072159814431963
123,2018-06-06 21:40:52.476801,0.2,4.0000008000001605e-08,7,19,9,100,0.05940853188170638
124,2018-06-06 21:40:54.667294,0.01,1.000001000001e-08,9,43,-3,32,0.0020728920728920732
125,2018-06-06 21:41:01.889529,0.2,4.0000008000001605e-08,4,48,-2,13,0.08673625734725147
126,2018-06-06 21:41:08.788011,0.2,4.0000008000001605e-08,6,24,21,72,0.07764861552972312
127,2018-06-06 21:41:35.193126,1.0,5.0000002500000126e-08,4,2,20,119,0.36321351816067593
128,2018-06-06 21:41:37.410312,0.02,2.000002000002e-08,9,0,19,170,0.007592207592207593
129,2018-06-06 21:42:07.007535,2.0,1.0000000500000025e-07,2,45,9,91,0.9607136480356824
130,2018-06-06 21:42:32.971904,1.0,5.0000002500000126e-08,5,17,19,164,0.2687504634375232
131,2018-06-06 21:42:40.065788,0.1,2.0000004000000802e-08,6,1,18,27,0.039249567849913576
132,2018-06-06 21:43:08.852527,2.0,1.0000000500000025e-07,4,51,7,216,0.6089710304485515
133,2018-06-06 21:43:35.054869,1.0,5.0000002500000126e-08,5,33,0,167,0.2738703636935182
134,2018-06-06 21:43:42.098118,0.1,2.0000004000000802e-08,6,8,-3,21,0.03412982682596537
135,2018-06-06 21:43:44.324998,0.02,2.000002000002e-08,9,32,8,141,0.006433026433026434
136,2018-06-06 21:44:15.202319,0.04,4.000004000004e-08,9,37,0,241,
137,2018-06-06 21:44:41.281337,1.0,5.0000002500000126e-08,3,11,15,67,0.41902267095113355
138,2018-06-06 21:45:15.642549,4.0,2.000000100000005e-07,3,34,22,206,1.0334162516708125
139,2018-06-06 21:45:23.350763,0.4,8.000001600000321e-08,7,31,19,218,0.1195681039136208
140,2018-06-06 21:46:35.380624,20.0,1.0000000500000025e-06,0,2,7,189,6.955148347757417
141,2018-06-06 21:46:42.991162,0.4,8.000001600000321e-08,7,0,1,229,0.12596914519382904
142,2018-06-06 21:47:43.294788,20.0,1.0000000500000025e-06,1,48,1,243,
143,2018-06-06 21:48:03.439655,0.01,1.000001000001e-08,8,38,15,27,0.0028691928691928696
144,2018-06-06 21:48:05.610634,0.02,2.000002000002e-08,9,48,11,170,0.0075922275922275925
145,2018-06-06 21:48:12.544287,0.1,2.0000004000000802e-08,6,26,20,34,0.04436864887372978
146,2018-06-06 21:48:14.779704,0.02,2.000002000002e-08,9,17,-2,118,0.005512305512305513
147,2018-06-06 21:48:48.253197,4.0,2.000000100000005e-07,0,0,10,39,2.0399979019998953
148,2018-06-06 21:48:55.614296,0.4,8.000001600000321e-08,5,21,0,67,0.12539178507835702
149,2018-06-06 21:49:22.053823,1.0,5.0000002500000126e-08,5,33,2,126,0.21243101062155054
150,2018-06-06 21:49:29.272753,0.2,4.0000008000001605e-08,4,33,13,17,0.0969777393955479
151,2018-06-06 21:49:36.539335,0.4,8.000001600000321e-08,6,3,1,171,0.1621274724254945
152,2018-06-06 21:50:24.744705,10.0,5.000000250000012e-07,1,32,-3,170,3.4776786738839336
153,2018-06-06 21:50:56.547796,1.0,5.0000002500000126e-08,5,50,1,248,
154,2018-06-06 21:50:59.751911,0.01,1.000001000001e-08,9,10,22,52,0.0028722528722528724
155,2018-06-06 21:52:11.714891,20.0,1.0000000500000025e-06,1,10,4,239,4.788387239419362
156,2018-06-06 21:52:59.602910,10.0,5.000000250000012e-07,1,37,10,160,3.3138411656920583
157,2018-06-06 21:53:32.817697,4.0,2.000000100000005e-07,2,29,3,147,1.4112680705634035
158,2018-06-06 21:54:21.740261,10.0,5.000000250000012e-07,0,41,7,61,2.859189142959457
159,2018-06-06 21:54:55.806434,4.0,2.000000100000005e-07,2,50,-2,204,1.8618226930911348
160,2018-06-06 21:55:56.136012,20.0,1.0000000500000025e-06,0,3,-2,254,
161,2018-06-06 21:56:40.568079,1.0,5.0000002500000126e-08,5,50,10,234,0.37115031855751596
162,2018-06-06 21:57:06.917982,1.0,5.0000002500000126e-08,4,28,-3,132,0.393933119696656
163,2018-06-06 21:57:14.051316,0.1,2.0000004000000802e-08,7,46,2,52,0.03508968701793741
164,2018-06-06 21:58:25.511105,20.0,1.0000000500000025e-06,0,19,17,132,5.152926257646313
165,2018-06-06 21:58:54.532166,2.0,1.0000000500000025e-07,2,14,2,87,0.9197531459876573
166,2018-06-06 21:58:56.663081,0.01,1.000001000001e-08,9,3,3,77,0.003872683872683873
167,2018-06-06 22:00:08.497363,20.0,1.0000000500000025e-06,0,6,7,124,4.825249241262462
168,2018-06-06 22:00:10.756146,0.02,2.000002000002e-08,8,42,6,108,0.008053248053248054
169,2018-06-06 22:00:44.000541,4.0,2.000000100000005e-07,2,46,2,161,1.5341484767074238
170,2018-06-06 22:01:10.034649,1.0,5.0000002500000126e-08,5,3,14,238,0.37627006881350344
171,2018-06-06 22:01:17.141115,0.1,2.0000004000000802e-08,4,8,10,2,0.05601667120333425
172,2018-06-06 22:01:24.041414,0.1,2.0000004000000802e-08,7,24,7,35,0.026130745226149048
173,2018-06-06 22:01:31.896462,0.4,8.000001600000321e-08,7,45,16,215,0.11828794365758874
174,2018-06-06 22:01:58.388124,1.0,5.0000002500000126e-08,5,25,13,209,0.33530976676548835
175,2018-06-06 22:02:00.712829,0.01,1.000001000001e-08,8,3,4,39,0.0036371836371836374
176,2018-06-06 22:02:02.842291,0.01,1.000001000001e-08,9,42,12,47,0.002672942672942673
177,2018-06-06 22:02:10.100856,0.2,4.0000008000001605e-08,7,46,1,138,0.07860837572167516
178,2018-06-06 22:02:37.144789,1.0,5.0000002500000126e-08,6,12,4,233,0.21588886079444305
179,2018-06-06 22:02:44.310035,0.1,2.0000004000000802e-08,6,12,18,32,0.04437066887413378
180,2018-06-06 22:02:51.714919,0.4,8.000001600000321e-08,4,31,22,39,0.15841555168311036
181,2018-06-06 22:02:53.883019,0.04,4.000004000004e-08,8,31,0,189,0.013236813236813237
182,2018-06-06 22:03:27.131246,4.0,2.000000100000005e-07,1,14,-2,49,1.2658604632930233
183,2018-06-06 22:03:53.510841,1.0,5.0000002500000126e-08,6,21,7,211,0.195407659770383
184,2018-06-06 22:04:21.900298,2.0,1.0000000500000025e-07,3,1,19,149,0.787657239382862
185,2018-06-06 22:04:50.618430,2.0,1.0000000500000025e-07,4,46,1,201,0.5680128284006414
186,2018-06-06 22:04:52.601418,0.04,4.000004000004e-08,7,47,21,17,0.01716889716889717
187,2018-06-06 22:06:04.707481,20.0,1.0000000500000025e-06,0,39,17,197,7.282825364141268
188,2018-06-06 22:06:11.689366,0.2,4.0000008000001605e-08,7,24,2,111,0.06580885316177064
189,2018-06-06 22:06:18.966912,0.4,8.000001600000321e-08,6,46,20,125,0.12373010474602096
