sample,time,window,precision,modulation,band,power,payload,tx2txdone
0,2018-06-05 12:59:56.104608,0.2,2.000002000002e-07,5,10,14,36,0.07931407931407931
1,2018-06-05 13:00:58.280642,10.0,5.000000250000012e-07,0,27,21,109,4.33374021668701
2,2018-06-05 13:00:59.675611,0.02,2.0000200002000021e-07,8,51,8,71,0.005622256222562226
3,2018-06-05 13:01:03.131609,0.4,4.000004000004e-07,6,31,16,187,0.17237097237097238
4,2018-06-05 13:01:15.723611,1.0,2.00000040000008e-07,5,2,0,213,0.33531266706253343
5,2018-06-05 13:01:19.200613,0.2,2.000002000002e-07,6,28,6,65,0.06997126997126997
6,2018-06-05 13:01:20.633610,0.04,4.0000400004000043e-07,8,23,2,208,0.014390543905439056
7,2018-06-05 13:01:21.720610,0.01,1.0000100001000011e-07,8,12,10,48,0.004151341513415134
8,2018-06-05 13:01:24.602609,0.2,2.000002000002e-07,3,36,1,6,0.11182631182631184
9,2018-06-05 13:01:44.897608,4.0,8.00000160000032e-07,2,4,-2,206,1.8618259723651944
10,2018-06-05 13:01:48.512608,0.4,4.000004000004e-07,6,20,21,132,0.1262901262901263
11,2018-06-05 13:01:52.113076,0.4,4.000004000004e-07,2,22,1,9,0.2644010644010644
12,2018-06-05 13:01:55.511361,0.4,4.000004000004e-07,7,15,-2,237,0.12853012853012855
13,2018-06-05 13:02:15.183360,4.0,8.00000160000032e-07,0,24,7,36,1.876161975232395
14,2018-06-05 13:02:27.663360,1.0,2.00000040000008e-07,2,48,14,19,0.3463204692640938
15,2018-06-05 13:02:40.342359,1.0,2.00000040000008e-07,0,39,0,2,0.7292939458587891
16,2018-06-05 13:02:58.428490,4.0,8.00000160000032e-07,0,26,8,48,2.2038404407680883
17,2018-06-05 13:03:01.457493,0.2,2.000002000002e-07,5,28,13,29,0.06907466907466908
18,2018-06-05 13:03:04.535493,0.2,2.000002000002e-07,3,42,4,10,0.1323061323061323
19,2018-06-05 13:03:07.408490,0.4,4.000004000004e-07,7,21,18,217,0.1182909182909183
20,2018-06-05 13:04:30.491413,20.0,1.0000000500000025e-06,0,3,21,230,8.26586541329327
21,2018-06-05 13:04:44.650416,2.0,4.00000080000016e-07,3,43,4,112,0.6033417206683441
22,2018-06-05 13:05:03.197416,4.0,8.00000160000032e-07,2,32,9,181,1.6570283314056662
23,2018-06-05 13:05:04.564414,0.04,4.0000400004000043e-07,8,1,20,219,0.015094550945509455
24,2018-06-05 13:05:08.166416,0.4,4.000004000004e-07,7,36,2,210,0.11445091445091446
25,2018-06-05 13:05:11.149414,0.4,4.000004000004e-07,7,30,1,238,0.12853012853012855
26,2018-06-05 13:05:12.461413,0.02,2.0000200002000021e-07,9,5,11,235,0.01015430154301543
27,2018-06-05 13:06:16.960116,10.0,5.000000250000012e-07,2,17,2,229,2.066624103331205
28,2018-06-05 13:06:18.102522,0.01,1.0000100001000011e-07,8,36,12,31,0.003062430624306243
29,2018-06-05 13:06:30.954520,1.0,2.00000040000008e-07,5,45,8,198,0.31483306296661256
30,2018-06-05 13:07:33.514996,10.0,5.000000250000012e-07,0,35,7,57,2.531515626575781
31,2018-06-05 13:07:53.783247,4.0,8.00000160000032e-07,2,20,-1,160,1.4931898986379797
32,2018-06-05 13:08:55.782016,10.0,5.000000250000012e-07,1,24,1,207,4.13303720665186
33,2018-06-05 13:08:57.034045,0.02,2.0000200002000021e-07,8,15,5,117,0.00856648566485665
34,2018-06-05 13:09:16.488018,4.0,8.00000160000032e-07,1,49,16,73,1.675460335092067
35,2018-06-05 13:09:19.565185,0.1,1.000001000001e-07,7,49,10,64,0.04021074021074021
36,2018-06-05 13:09:35.682188,2.0,4.00000080000016e-07,1,32,20,36,1.0201062040212407
37,2018-06-05 13:09:37.043322,0.04,4.0000400004000043e-07,8,48,11,189,0.013175731757317575
38,2018-06-05 13:09:38.258352,0.01,1.0000100001000011e-07,8,16,6,55,0.004599545995459955
39,2018-06-05 13:09:39.485324,0.04,4.0000400004000043e-07,8,26,7,194,0.013494534945349454
40,2018-06-05 13:09:40.503326,0.004,4.0004000400040005e-07,9,3,-1,29,0.0019145914591459146
41,2018-06-05 13:09:53.281331,1.0,2.00000040000008e-07,3,25,0,39,0.27566465513293104
42,2018-06-05 13:10:55.485295,10.0,5.000000250000012e-07,1,50,20,234,4.624552231227612
43,2018-06-05 13:10:58.554297,0.1,1.000001000001e-07,7,4,12,46,0.03125153125153125
44,2018-06-05 13:10:59.929295,0.04,4.0000400004000043e-07,8,5,5,145,0.01035890358903589
45,2018-06-05 13:11:01.125324,0.04,4.0000400004000043e-07,7,29,0,27,0.02101221012210122
46,2018-06-05 13:11:02.392296,0.02,2.0000200002000021e-07,8,3,16,104,0.007734877348773489
47,2018-06-05 13:11:16.555545,2.0,4.00000080000016e-07,3,20,10,198,0.9924589984917996
48,2018-06-05 13:11:19.608573,0.2,2.000002000002e-07,6,38,7,82,0.08277028277028277
49,2018-06-05 13:11:20.865571,0.02,2.0000200002000021e-07,9,8,16,208,0.00907669076690767
50,2018-06-05 13:11:21.836569,0.004,4.0004000400040005e-07,8,49,7,18,0.0022306230623062306
51,2018-06-05 13:11:23.346573,0.02,2.0000200002000021e-07,8,25,22,125,0.00907829078290783
52,2018-06-05 13:11:26.579572,0.1,1.000001000001e-07,7,4,22,65,0.04021094021094021
53,2018-06-05 13:11:37.654680,1.0,2.00000040000008e-07,4,27,9,169,0.47585549517109904
