,tx_node,rx_node,modulation,power,preamble,rssi,snr,timestamp
0,1.0,3.0,5.0,10.0,2.0,-84.0,12.0,1533584462.020896
1,1.0,13.0,5.0,10.0,2.0,-108.0,-2.0,1533584462.020896
2,1.0,25.0,5.0,10.0,2.0,-102.0,-2.0,1533584462.020896
3,1.0,10.0,5.0,22.0,2.0,-81.0,11.0,1533584462.372126
4,1.0,28.0,7.0,0.0,2.0,-98.0,5.0,1533584462.73089
5,1.0,8.0,7.0,0.0,2.0,-63.0,6.0,1533584462.73089
6,1.0,15.0,7.0,0.0,2.0,-67.0,8.0,1533584462.73089
7,1.0,4.0,7.0,0.0,2.0,-59.0,8.0,1533584462.73089
8,1.0,23.0,7.0,0.0,2.0,-103.0,-4.0,1533584462.73089
9,1.0,22.0,7.0,0.0,2.0,-104.0,0.0,1533584462.73089
10,1.0,28.0,7.0,10.0,2.0,-89.0,8.0,1533584462.990535
11,1.0,3.0,7.0,10.0,2.0,-84.0,8.0,1533584462.990535
12,1.0,8.0,7.0,10.0,2.0,-52.0,9.0,1533584462.990535
13,1.0,10.0,7.0,10.0,2.0,-93.0,3.0,1533584462.990535
14,1.0,15.0,7.0,10.0,2.0,-58.0,9.0,1533584462.990535
15,1.0,4.0,7.0,10.0,2.0,-48.0,9.0,1533584462.990535
16,1.0,20.0,7.0,10.0,2.0,-101.0,4.0,1533584462.990535
17,1.0,23.0,7.0,10.0,2.0,-97.0,5.0,1533584462.990535
18,1.0,26.0,7.0,10.0,2.0,-105.0,-3.0,1533584462.990535
19,1.0,32.0,7.0,10.0,2.0,-85.0,7.0,1533584462.990535
20,1.0,33.0,7.0,10.0,2.0,-71.0,9.0,1533584462.990535
21,1.0,13.0,7.0,10.0,2.0,-109.0,-3.0,1533584462.990535
22,1.0,25.0,7.0,10.0,2.0,-103.0,0.0,1533584462.990535
23,1.0,22.0,7.0,10.0,2.0,-95.0,7.0,1533584462.990535
24,1.0,28.0,7.0,22.0,2.0,-77.0,8.0,1533584463.242782
25,1.0,3.0,7.0,22.0,2.0,-71.0,9.0,1533584463.242782
26,1.0,24.0,7.0,22.0,2.0,-95.0,5.0,1533584463.242782
27,1.0,8.0,7.0,22.0,2.0,-39.0,8.0,1533584463.242782
28,1.0,10.0,7.0,22.0,2.0,-81.0,8.0,1533584463.242782
29,1.0,15.0,7.0,22.0,2.0,-45.0,8.0,1533584463.242782
30,1.0,4.0,7.0,22.0,2.0,-36.0,9.0,1533584463.242782
31,1.0,20.0,7.0,22.0,2.0,-88.0,8.0,1533584463.242782
32,1.0,23.0,7.0,22.0,2.0,-84.0,8.0,1533584463.242782
33,1.0,26.0,7.0,22.0,2.0,-95.0,5.0,1533584463.242782
34,1.0,32.0,7.0,22.0,2.0,-73.0,9.0,1533584463.242782
35,1.0,33.0,7.0,22.0,2.0,-59.0,9.0,1533584463.242782
36,1.0,13.0,7.0,22.0,2.0,-99.0,6.0,1533584463.242782
37,1.0,25.0,7.0,22.0,2.0,-93.0,7.0,1533584463.242782
38,1.0,22.0,7.0,22.0,2.0,-83.0,8.0,1533584463.242782
39,1.0,8.0,9.0,10.0,2.0,-39.0,8.0,1533584463.720562
40,1.0,15.0,9.0,10.0,2.0,-45.0,8.0,1533584463.720562
41,1.0,4.0,9.0,10.0,2.0,-36.0,9.0,1533584463.720562
42,1.0,33.0,9.0,10.0,2.0,-59.0,9.0,1533584463.720562
43,1.0,15.0,9.0,22.0,2.0,-45.0,8.0,1533584463.93083
44,1.0,4.0,9.0,22.0,2.0,-36.0,9.0,1533584463.93083
45,1.0,33.0,9.0,22.0,2.0,-59.0,9.0,1533584463.93083
46,1.0,28.0,3.0,0.0,3.0,-99.0,6.0,1533584464.140613
47,1.0,3.0,3.0,0.0,3.0,-93.0,9.0,1533584464.140613
48,1.0,24.0,3.0,0.0,3.0,-106.0,-13.0,1533584464.140613
49,1.0,8.0,3.0,0.0,3.0,-60.0,10.0,1533584464.140613
50,1.0,10.0,3.0,0.0,3.0,-98.0,-4.0,1533584464.140613
51,1.0,15.0,3.0,0.0,3.0,-67.0,11.0,1533584464.140613
52,1.0,4.0,3.0,0.0,3.0,-56.0,11.0,1533584464.140613
53,1.0,20.0,3.0,0.0,3.0,-106.0,-5.0,1533584464.140613
54,1.0,23.0,3.0,0.0,3.0,-102.0,-4.0,1533584464.140613
55,1.0,26.0,3.0,0.0,3.0,-106.0,-13.0,1533584464.140613
56,1.0,32.0,3.0,0.0,3.0,-94.0,3.0,1533584464.140613
57,1.0,22.0,3.0,0.0,3.0,-103.0,0.0,1533584464.140613
58,1.0,28.0,3.0,10.0,3.0,-89.0,9.0,1533584464.820619
59,1.0,3.0,3.0,10.0,3.0,-84.0,10.0,1533584464.820619
60,1.0,24.0,3.0,10.0,3.0,-103.0,-5.0,1533584464.820619
61,1.0,8.0,3.0,10.0,3.0,-51.0,11.0,1533584464.820619
62,1.0,10.0,3.0,10.0,3.0,-92.0,4.0,1533584464.820619
63,1.0,15.0,3.0,10.0,3.0,-57.0,10.0,1533584464.820619
64,1.0,4.0,3.0,10.0,3.0,-48.0,10.0,1533584464.820619
65,1.0,20.0,3.0,10.0,3.0,-100.0,4.0,1533584464.820619
66,1.0,23.0,3.0,10.0,3.0,-97.0,6.0,1533584464.820619
67,1.0,26.0,3.0,10.0,3.0,-105.0,-3.0,1533584464.820619
68,1.0,32.0,3.0,10.0,3.0,-86.0,9.0,1533584464.820619
69,1.0,33.0,3.0,10.0,3.0,-71.0,10.0,1533584464.820619
70,1.0,13.0,3.0,10.0,3.0,-108.0,-3.0,1533584464.820619
71,1.0,25.0,3.0,10.0,3.0,-103.0,0.0,1533584464.820619
72,1.0,22.0,3.0,10.0,3.0,-95.0,6.0,1533584464.820619
73,1.0,28.0,3.0,22.0,3.0,-77.0,10.0,1533584465.500636
74,1.0,3.0,3.0,22.0,3.0,-71.0,10.0,1533584465.500636
75,1.0,24.0,3.0,22.0,3.0,-95.0,5.0,1533584465.500636
76,1.0,8.0,3.0,22.0,3.0,-39.0,10.0,1533584465.500636
77,1.0,10.0,3.0,22.0,3.0,-81.0,9.0,1533584465.500636
78,1.0,15.0,3.0,22.0,3.0,-46.0,10.0,1533584465.500636
79,1.0,4.0,3.0,22.0,3.0,-35.0,10.0,1533584465.500636
80,1.0,20.0,3.0,22.0,3.0,-89.0,9.0,1533584465.500636
81,1.0,23.0,3.0,22.0,3.0,-85.0,10.0,1533584465.500636
82,1.0,26.0,3.0,22.0,3.0,-96.0,6.0,1533584465.500636
83,1.0,33.0,3.0,22.0,3.0,-59.0,10.0,1533584465.500636
84,1.0,13.0,3.0,22.0,3.0,-99.0,6.0,1533584465.500636
85,1.0,25.0,3.0,22.0,3.0,-93.0,8.0,1533584465.500636
86,1.0,22.0,3.0,22.0,3.0,-83.0,10.0,1533584465.500636
87,1.0,28.0,5.0,0.0,3.0,-98.0,3.0,1533584466.181798
88,1.0,3.0,5.0,0.0,3.0,-94.0,9.0,1533584466.181798
89,1.0,8.0,5.0,0.0,3.0,-60.0,12.0,1533584466.181798
90,1.0,15.0,5.0,0.0,3.0,-67.0,12.0,1533584466.181798
91,1.0,4.0,5.0,0.0,3.0,-56.0,12.0,1533584466.181798
92,1.0,20.0,5.0,0.0,3.0,-106.0,-5.0,1533584466.181798
93,1.0,23.0,5.0,0.0,3.0,-103.0,-4.0,1533584466.181798
94,1.0,32.0,5.0,0.0,3.0,-93.0,-1.0,1533584466.181798
95,1.0,33.0,5.0,0.0,3.0,-81.0,12.0,1533584466.181798
96,1.0,22.0,5.0,0.0,3.0,-103.0,1.0,1533584466.181798
97,1.0,28.0,5.0,10.0,3.0,-89.0,11.0,1533584466.540836
98,1.0,3.0,5.0,10.0,3.0,-84.0,11.0,1533584466.540836
99,1.0,24.0,5.0,10.0,3.0,-103.0,-5.0,1533584466.540836
100,1.0,8.0,5.0,10.0,3.0,-51.0,12.0,1533584466.540836
101,1.0,10.0,5.0,10.0,3.0,-93.0,4.0,1533584466.540836
102,1.0,15.0,5.0,10.0,3.0,-57.0,12.0,1533584466.540836
103,1.0,4.0,5.0,10.0,3.0,-48.0,13.0,1533584466.540836
104,1.0,20.0,5.0,10.0,3.0,-101.0,6.0,1533584466.540836
105,1.0,23.0,5.0,10.0,3.0,-96.0,7.0,1533584466.540836
106,1.0,26.0,5.0,10.0,3.0,-105.0,-2.0,1533584466.540836
107,1.0,32.0,5.0,10.0,3.0,-86.0,10.0,1533584466.540836
108,1.0,33.0,5.0,10.0,3.0,-71.0,12.0,1533584466.540836
109,1.0,13.0,5.0,10.0,3.0,-109.0,-2.0,1533584466.540836
110,1.0,22.0,5.0,10.0,3.0,-95.0,9.0,1533584466.540836
111,1.0,28.0,5.0,22.0,3.0,-73.0,-5.0,1533584466.893121
112,1.0,3.0,5.0,22.0,3.0,-71.0,13.0,1533584466.893121
113,1.0,8.0,5.0,22.0,3.0,-39.0,12.0,1533584466.893121
114,1.0,10.0,5.0,22.0,3.0,-81.0,11.0,1533584466.893121
115,1.0,15.0,5.0,22.0,3.0,-46.0,12.0,1533584466.893121
116,1.0,20.0,5.0,22.0,3.0,-89.0,12.0,1533584466.893121
117,1.0,23.0,5.0,22.0,3.0,-84.0,12.0,1533584466.893121
118,1.0,26.0,5.0,22.0,3.0,-96.0,8.0,1533584466.893121
119,1.0,32.0,5.0,22.0,3.0,-73.0,12.0,1533584466.893121
120,1.0,33.0,5.0,22.0,3.0,-59.0,12.0,1533584466.893121
121,1.0,13.0,5.0,22.0,3.0,-99.0,8.0,1533584466.893121
122,1.0,25.0,5.0,22.0,3.0,-93.0,9.0,1533584466.893121
123,1.0,22.0,5.0,22.0,3.0,-83.0,12.0,1533584466.893121
124,1.0,28.0,7.0,0.0,3.0,-99.0,5.0,1533584467.250426
125,1.0,3.0,7.0,0.0,3.0,-94.0,7.0,1533584467.250426
126,1.0,8.0,7.0,0.0,3.0,-61.0,8.0,1533584467.250426
127,1.0,15.0,7.0,0.0,3.0,-67.0,8.0,1533584467.250426
128,1.0,4.0,7.0,0.0,3.0,-58.0,8.0,1533584467.250426
129,1.0,32.0,7.0,0.0,3.0,-94.0,2.0,1533584467.250426
130,1.0,33.0,7.0,0.0,3.0,-81.0,8.0,1533584467.250426
131,1.0,22.0,7.0,0.0,3.0,-104.0,0.0,1533584467.250426
